Data;Ora solare;Livello Punta Salute (cm)
9-gen-98;19.00;9
9-gen-98;20.00;20
9-gen-98;21.00;30
9-gen-98;22.00;31
9-gen-98;23.00;20
10-gen-98;0.00;8
10-gen-98;1.00;-4
10-gen-98;2.00;-12
10-gen-98;3.00;-15
10-gen-98;4.00;-9
10-gen-98;5.00;3
10-gen-98;6.00;16
10-gen-98;7.00;27
10-gen-98;8.00;35
10-gen-98;9.00;36
10-gen-98;10.00;31
10-gen-98;11.00;17
10-gen-98;12.00;1
10-gen-98;13.00;-17
10-gen-98;14.00;-34
10-gen-98;15.00;-47
10-gen-98;16.00;-52
10-gen-98;17.00;-45
10-gen-98;18.00;-28
10-gen-98;19.00;-5
10-gen-98;20.00;13
10-gen-98;21.00;27
10-gen-98;22.00;33
10-gen-98;23.00;31
11-gen-98;0.00;17
11-gen-98;1.00;0
11-gen-98;2.00;-15
11-gen-98;3.00;-24
11-gen-98;4.00;-25
11-gen-98;5.00;-13
11-gen-98;6.00;4
11-gen-98;7.00;20
11-gen-98;8.00;36
11-gen-98;9.00;48
11-gen-98;10.00;52
11-gen-98;11.00;43
11-gen-98;12.00;25
11-gen-98;13.00;3
11-gen-98;14.00;-21
11-gen-98;15.00;-40
11-gen-98;16.00;-53
11-gen-98;17.00;-53
11-gen-98;18.00;-37
11-gen-98;19.00;-16
11-gen-98;20.00;6
11-gen-98;21.00;20
11-gen-98;22.00;30
11-gen-98;23.00;31
12-gen-98;0.00;23
12-gen-98;1.00;8
12-gen-98;2.00;-8
12-gen-98;3.00;-16
12-gen-98;4.00;-20
12-gen-98;5.00;-12
12-gen-98;6.00;3
12-gen-98;7.00;20
12-gen-98;8.00;36
12-gen-98;9.00;48
12-gen-98;10.00;52
12-gen-98;11.00;44
12-gen-98;12.00;28
12-gen-98;13.00;8
12-gen-98;14.00;-16
12-gen-98;15.00;-37
12-gen-98;16.00;-55
12-gen-98;17.00;-60
12-gen-98;18.00;-53
12-gen-98;19.00;-33
12-gen-98;20.00;-10
12-gen-98;21.00;8
12-gen-98;22.00;20
12-gen-98;23.00;30
13-gen-98;0.00;30
13-gen-98;1.00;20
13-gen-98;2.00;7
13-gen-98;3.00;-5
13-gen-98;4.00;-13
13-gen-98;5.00;-15
13-gen-98;6.00;-4
13-gen-98;7.00;11
13-gen-98;8.00;27
13-gen-98;9.00;40
13-gen-98;10.00;50
13-gen-98;11.00;49
13-gen-98;12.00;38
13-gen-98;13.00;20
13-gen-98;14.00;-2
13-gen-98;15.00;-25
13-gen-98;16.00;-44
13-gen-98;17.00;-56
13-gen-98;18.00;-56
13-gen-98;19.00;-40
13-gen-98;20.00;-18
13-gen-98;21.00;4
13-gen-98;22.00;22
13-gen-98;23.00;36
14-gen-98;0.00;43
14-gen-98;1.00;39
14-gen-98;2.00;28
14-gen-98;3.00;15
14-gen-98;4.00;4
14-gen-98;5.00;-4
14-gen-98;6.00;-1
14-gen-98;7.00;11
14-gen-98;8.00;25
14-gen-98;9.00;40
14-gen-98;10.00;52
14-gen-98;11.00;57
14-gen-98;12.00;52
14-gen-98;13.00;38
14-gen-98;14.00;19
14-gen-98;15.00;-2
14-gen-98;16.00;-25
14-gen-98;17.00;-39
14-gen-98;18.00;-42
14-gen-98;19.00;-34
14-gen-98;20.00;-17
14-gen-98;21.00;8
14-gen-98;22.00;28
14-gen-98;23.00;46
15-gen-98;0.00;55
15-gen-98;1.00;59
15-gen-98;2.00;52
15-gen-98;3.00;36
15-gen-98;4.00;22
15-gen-98;5.00;11
15-gen-98;6.00;4
15-gen-98;7.00;7
15-gen-98;8.00;19
15-gen-98;9.00;33
15-gen-98;10.00;48
15-gen-98;11.00;55
15-gen-98;12.00;54
15-gen-98;13.00;41
15-gen-98;14.00;23
15-gen-98;15.00;3
15-gen-98;16.00;-17
15-gen-98;17.00;-33
15-gen-98;18.00;-40
15-gen-98;19.00;-39
15-gen-98;20.00;-24
15-gen-98;21.00;-2
