Data;Ora solare;Livello Punta Salute (cm);;;
8-gen-99;4.00;55;;;
8-gen-99;5.00;46;;;
8-gen-99;6.00;33;;;
8-gen-99;7.00;23;;;
8-gen-99;8.00;16;;;
8-gen-99;9.00;9;;;
8-gen-99;10.00;12;;;
8-gen-99;11.00;19;;;
8-gen-99;12.00;27;;;
8-gen-99;13.00;31;;;
8-gen-99;14.00;33;;;
8-gen-99;15.00;31;;;
8-gen-99;16.00;25;;;
8-gen-99;17.00;19;;;
8-gen-99;18.00;13;;;
8-gen-99;19.00;11;;;
8-gen-99;20.00;11;;;
8-gen-99;21.00;16;;;
8-gen-99;22.00;23;;;
8-gen-99;23.00;29;;;
8-gen-99;0.00;36;;;
9-gen-99;1.00;44;;;
9-gen-99;2.00;52;;;
9-gen-99;3.00;55;;;
9-gen-99;4.00;57;;;
9-gen-99;5.00;55;;;
9-gen-99;6.00;44;;;
9-gen-99;7.00;36;;;
9-gen-99;8.00;24;;;
9-gen-99;9.00;19;;;
9-gen-99;10.00;17;;;
9-gen-99;11.00;17;;;
9-gen-99;12.00;23;;;
9-gen-99;13.00;28;;;
9-gen-99;14.00;35;;;
9-gen-99;15.00;36;;;
9-gen-99;16.00;35;;;
9-gen-99;17.00;28;;;
9-gen-99;18.00;24;;;
9-gen-99;19.00;22;;;
9-gen-99;20.00;20;;;
9-gen-99;21.00;18;;;
9-gen-99;22.00;19;;;
9-gen-99;23.00;20;;;
9-gen-99;0.00;27;;;
10-gen-99;1.00;36;;;
10-gen-99;2.00;43;;;
10-gen-99;3.00;48;;;
10-gen-99;4.00;51;;;
10-gen-99;5.00;48;;;
10-gen-99;6.00;46;;;
10-gen-99;7.00;40;;;
10-gen-99;8.00;32;;;
10-gen-99;9.00;24;;;
10-gen-99;10.00;19;;;
10-gen-99;11.00;14;;;
10-gen-99;12.00;14;;;
10-gen-99;13.00;16;;;
10-gen-99;14.00;16;;;
10-gen-99;15.00;19;;;
10-gen-99;16.00;22;;;
10-gen-99;17.00;25;;;
10-gen-99;18.00;30;;;
10-gen-99;19.00;32;;;
10-gen-99;20.00;33;;;
10-gen-99;21.00;32;;;
10-gen-99;22.00;31;;;
10-gen-99;23.00;35;;;
10-gen-99;0.00;38;;;
11-gen-99;1.00;43;;;
11-gen-99;2.00;54;;;
11-gen-99;3.00;64;;;
11-gen-99;4.00;70;;;
11-gen-99;5.00;78;;;
11-gen-99;6.00;84;;;
11-gen-99;7.00;83;;;
11-gen-99;8.00;83;;;
11-gen-99;9.00;83;;;
11-gen-99;10.00;80;;;
11-gen-99;11.00;76;;;
11-gen-99;12.00;72;;;
11-gen-99;13.00;65;;;
11-gen-99;14.00;55;;;
11-gen-99;15.00;46;;;
11-gen-99;16.00;44;;;
11-gen-99;17.00;44;;;
11-gen-99;18.00;48;;;
11-gen-99;19.00;49;;;
11-gen-99;20.00;46;;;
11-gen-99;21.00;39;;;
11-gen-99;22.00;31;;;
11-gen-99;23.00;25;;;
11-gen-99;0.00;20;;;
12-gen-99;1.00;20;;;
12-gen-99;2.00;23;;;
12-gen-99;3.00;23;;;
12-gen-99;4.00;32;;;
12-gen-99;5.00;46;;;
12-gen-99;6.00;56;;;
12-gen-99;7.00;63;;;
12-gen-99;8.00;68;;;
12-gen-99;9.00;69;;;
12-gen-99;10.00;63;;;
12-gen-99;11.00;51;;;
12-gen-99;12.00;39;;;
12-gen-99;13.00;27;;;
12-gen-99;14.00;14;;;
12-gen-99;15.00;6;;;
12-gen-99;16.00;4;;;
12-gen-99;17.00;8;;;
12-gen-99;18.00;16;;;
12-gen-99;19.00;28;;;
12-gen-99;20.00;36;;;
12-gen-99;21.00;38;;;
12-gen-99;22.00;31;;;
12-gen-99;23.00;24;;;
12-gen-99;0.00;14;;;
13-gen-99;1.00;6;;;
13-gen-99;2.00;8;;;
13-gen-99;3.00;20;;;
13-gen-99;4.00;38;;;
13-gen-99;5.00;55;;;
13-gen-99;6.00;70;;;
13-gen-99;7.00;79;;;
13-gen-99;8.00;80;;;
13-gen-99;9.00;76;;;
13-gen-99;10.00;64;;;
13-gen-99;11.00;48;;;
13-gen-99;12.00;27;;;
13-gen-99;13.00;15;;;
13-gen-99;14.00;0;;;
13-gen-99;15.00;-8;;;
13-gen-99;16.00;-9;;;
13-gen-99;17.00;-5;;;
13-gen-99;18.00;6;;;
13-gen-99;19.00;20;;;
13-gen-99;20.00;31;;;
13-gen-99;21.00;36;;;
13-gen-99;22.00;32;;;
13-gen-99;23.00;25;;;
13-gen-99;0.00;16;;;
14-gen-99;1.00;8;;;
14-gen-99;2.00;6;;;
14-gen-99;3.00;9;;;
14-gen-99;4.00;19;;;
14-gen-99;5.00;30;;;
14-gen-99;6.00;41;;;
14-gen-99;7.00;51;;;
14-gen-99;8.00;52;;;
14-gen-99;9.00;52;;;
14-gen-99;10.00;48;;;
14-gen-99;11.00;32;;;
14-gen-99;12.00;16;;;
14-gen-99;13.00;-1;;;
14-gen-99;14.00;-13;;;
14-gen-99;15.00;-21;;;
14-gen-99;16.00;-18;;;
14-gen-99;17.00;-5;;;
14-gen-99;18.00;11;;;
14-gen-99;19.00;27;;;
14-gen-99;20.00;39;;;
14-gen-99;21.00;44;;;
14-gen-99;22.00;46;;;
14-gen-99;23.00;40;;;
14-gen-99;0.00;31;;;
15-gen-99;1.00;18;;;
15-gen-99;2.00;11;;;
15-gen-99;3.00;8;;;
15-gen-99;4.00;11;;;
15-gen-99;5.00;20;;;
15-gen-99;6.00;31;;;
15-gen-99;7.00;46;;;
15-gen-99;8.00;52;;;
15-gen-99;9.00;55;;;
15-gen-99;10.00;49;;;
15-gen-99;11.00;36;;;
15-gen-99;12.00;20;;;
15-gen-99;13.00;-1;;;
15-gen-99;14.00;-18;;;
15-gen-99;15.00;-29;;;
15-gen-99;16.00;-34;;;
15-gen-99;17.00;-28;;;
15-gen-99;18.00;-12;;;
15-gen-99;19.00;5;;;
15-gen-99;20.00;20;;;
15-gen-99;21.00;33;;;
15-gen-99;22.00;41;;;
15-gen-99;23.00;42;;;
15-gen-99;0.00;36;;;
16-gen-99;1.00;24;;;
16-gen-99;2.00;12;;;
