Data;Ora solare;Livello Punta Salute (cm)
1-gen-93;1.00;23
1-gen-93;2.00;33
1-gen-93;3.00;39
1-gen-93;4.00;41
1-gen-93;5.00;36
1-gen-93;6.00;27
1-gen-93;7.00;19
1-gen-93;8.00;11
1-gen-93;9.00;4
1-gen-93;10.00;-1
1-gen-93;11.00;-1
1-gen-93;12.00;-1
1-gen-93;13.00;-7
1-gen-93;14.00;-12
1-gen-93;15.00;-12
1-gen-93;16.00;-10
1-gen-93;17.00;-10
1-gen-93;18.00;-12
1-gen-93;19.00;-13
1-gen-93;20.00;-9
1-gen-93;21.00;-8
1-gen-93;22.00;-8
1-gen-93;23.00;-4
2-gen-93;0.00;4
2-gen-93;1.00;12
2-gen-93;2.00;23
2-gen-93;3.00;31
2-gen-93;4.00;38
2-gen-93;5.00;43
2-gen-93;6.00;43
2-gen-93;7.00;38
2-gen-93;8.00;28
2-gen-93;9.00;16
2-gen-93;10.00;6
2-gen-93;11.00;-1
2-gen-93;12.00;-8
2-gen-93;13.00;-12
2-gen-93;14.00;-16
2-gen-93;15.00;-13
2-gen-93;16.00;-5
2-gen-93;17.00;6
2-gen-93;18.00;11
2-gen-93;19.00;8
2-gen-93;20.00;8
2-gen-93;21.00;11
2-gen-93;22.00;11
2-gen-93;23.00;14
3-gen-93;0.00;17
3-gen-93;1.00;20
3-gen-93;2.00;23
3-gen-93;3.00;30
3-gen-93;4.00;40
3-gen-93;5.00;48
3-gen-93;6.00;50
3-gen-93;7.00;49
3-gen-93;8.00;43
3-gen-93;9.00;36
3-gen-93;10.00;30
3-gen-93;11.00;17
3-gen-93;12.00;5
3-gen-93;13.00;-7
3-gen-93;14.00;-7
3-gen-93;15.00;-4
3-gen-93;16.00;0
3-gen-93;17.00;7
3-gen-93;18.00;20
3-gen-93;19.00;31
3-gen-93;20.00;36
3-gen-93;21.00;31
3-gen-93;22.00;28
3-gen-93;23.00;24
4-gen-93;0.00;23
4-gen-93;1.00;22
4-gen-93;2.00;25
4-gen-93;3.00;32
4-gen-93;4.00;39
4-gen-93;5.00;43
