Data;Ora solare;Livello Punta Salute (cm);;;
8-gen-00;21.00;-5;;;
8-gen-00;22.00;14;;;
8-gen-00;23.00;30;;;
9-gen-00;0.00;41;;;
9-gen-00;1.00;44;;;
9-gen-00;2.00;38;;;
9-gen-00;3.00;26;;;
9-gen-00;4.00;15;;;
9-gen-00;5.00;3;;;
9-gen-00;6.00;-1;;;
9-gen-00;7.00;3;;;
9-gen-00;8.00;16;;;
9-gen-00;9.00;30;;;
9-gen-00;10.00;43;;;
9-gen-00;11.00;51;;;
9-gen-00;12.00;48;;;
9-gen-00;13.00;36;;;
9-gen-00;14.00;18;;;
9-gen-00;15.00;-2;;;
9-gen-00;16.00;-24;;;
9-gen-00;17.00;-40;;;
9-gen-00;18.00;-47;;;
9-gen-00;19.00;-44;;;
9-gen-00;20.00;-29;;;
9-gen-00;21.00;-8;;;
9-gen-00;22.00;12;;;
9-gen-00;23.00;27;;;
10-gen-00;0.00;38;;;
10-gen-00;1.00;43;;;
10-gen-00;2.00;41;;;
10-gen-00;3.00;31;;;
10-gen-00;4.00;17;;;
10-gen-00;5.00;7;;;
10-gen-00;6.00;0;;;
10-gen-00;7.00;-1;;;
10-gen-00;8.00;6;;;
10-gen-00;9.00;19;;;
10-gen-00;10.00;31;;;
10-gen-00;11.00;39;;;
10-gen-00;12.00;43;;;
10-gen-00;13.00;36;;;
10-gen-00;14.00;20;;;
10-gen-00;15.00;3;;;
10-gen-00;16.00;-16;;;
10-gen-00;17.00;-32;;;
10-gen-00;18.00;-40;;;
10-gen-00;19.00;-42;;;
10-gen-00;20.00;-33;;;
10-gen-00;21.00;-17;;;
10-gen-00;22.00;1;;;
10-gen-00;23.00;16;;;
11-gen-00;0.00;27;;;
11-gen-00;1.00;33;;;
11-gen-00;2.00;36;;;
11-gen-00;3.00;33;;;
11-gen-00;4.00;24;;;
11-gen-00;5.00;12;;;
11-gen-00;6.00;1;;;
11-gen-00;7.00;-2;;;
11-gen-00;8.00;-1;;;
11-gen-00;9.00;8;;;
11-gen-00;10.00;18;;;
11-gen-00;11.00;28;;;
11-gen-00;12.00;35;;;
11-gen-00;13.00;33;;;
11-gen-00;14.00;24;;;
11-gen-00;15.00;11;;;
11-gen-00;16.00;-5;;;
11-gen-00;17.00;-20;;;
11-gen-00;18.00;-29;;;
11-gen-00;19.00;-33;;;
11-gen-00;20.00;-32;;;
11-gen-00;21.00;-21;;;
11-gen-00;22.00;-8;;;
11-gen-00;23.00;7;;;
12-gen-00;0.00;17;;;
12-gen-00;1.00;28;;;
12-gen-00;2.00;33;;;
12-gen-00;3.00;36;;;
12-gen-00;4.00;32;;;
12-gen-00;5.00;23;;;
12-gen-00;6.00;13;;;
12-gen-00;7.00;4;;;
12-gen-00;8.00;-1;;;
12-gen-00;9.00;0;;;
12-gen-00;10.00;7;;;
12-gen-00;11.00;16;;;
12-gen-00;12.00;23;;;
12-gen-00;13.00;27;;;
12-gen-00;14.00;25;;;
12-gen-00;15.00;19;;;
12-gen-00;16.00;6;;;
12-gen-00;17.00;-9;;;
12-gen-00;18.00;-24;;;
12-gen-00;19.00;-31;;;
12-gen-00;20.00;-33;;;
12-gen-00;21.00;-28;;;
12-gen-00;22.00;-18;;;
12-gen-00;23.00;-5;;;
13-gen-00;0.00;8;;;
13-gen-00;1.00;20;;;
13-gen-00;2.00;30;;;
13-gen-00;3.00;36;;;
13-gen-00;4.00;39;;;
13-gen-00;5.00;32;;;
13-gen-00;6.00;23;;;
13-gen-00;7.00;11;;;
13-gen-00;8.00;3;;;
13-gen-00;9.00;-2;;;
13-gen-00;10.00;-1;;;
13-gen-00;11.00;4;;;
13-gen-00;12.00;12;;;
13-gen-00;13.00;20;;;
13-gen-00;14.00;20;;;
13-gen-00;15.00;16;;;
13-gen-00;16.00;8;;;
13-gen-00;17.00;-4;;;
13-gen-00;18.00;-13;;;
13-gen-00;19.00;-23;;;
13-gen-00;20.00;-26;;;
13-gen-00;21.00;-28;;;
13-gen-00;22.00;-25;;;
13-gen-00;23.00;-12;;;
14-gen-00;0.00;-1;;;
14-gen-00;1.00;11;;;
14-gen-00;2.00;23;;;
14-gen-00;3.00;31;;;
14-gen-00;4.00;36;;;
14-gen-00;5.00;39;;;
14-gen-00;6.00;31;;;
14-gen-00;7.00;20;;;
14-gen-00;8.00;10;;;
14-gen-00;9.00;1;;;
14-gen-00;10.00;-5;;;
14-gen-00;11.00;-8;;;
14-gen-00;12.00;-7;;;
14-gen-00;13.00;-1;;;
14-gen-00;14.00;3;;;
14-gen-00;15.00;5;;;
14-gen-00;16.00;4;;;
14-gen-00;17.00;-1;;;
14-gen-00;18.00;-8;;;
14-gen-00;19.00;-16;;;
14-gen-00;20.00;-21;;;
14-gen-00;21.00;-25;;;
14-gen-00;22.00;-24;;;
14-gen-00;23.00;-18;;;
15-gen-00;0.00;-7;;;
15-gen-00;1.00;6;;;
15-gen-00;2.00;16;;;
15-gen-00;3.00;27;;;
15-gen-00;4.00;32;;;
15-gen-00;5.00;36;;;
15-gen-00;6.00;35;;;
15-gen-00;7.00;26;;;
15-gen-00;8.00;18;;;
15-gen-00;9.00;7;;;
15-gen-00;10.00;-5;;;
15-gen-00;11.00;-13;;;
15-gen-00;12.00;-20;;;
15-gen-00;13.00;-21;;;
15-gen-00;14.00;-17;;;
15-gen-00;15.00;-12;;;
15-gen-00;16.00;-7;;;
15-gen-00;17.00;-1;;;
15-gen-00;18.00;1;;;
15-gen-00;19.00;1;;;
15-gen-00;20.00;-1;;;
15-gen-00;21.00;-5;;;
15-gen-00;22.00;-8;;;
15-gen-00;23.00;-8;;;
16-gen-00;0.00;-3;;;
16-gen-00;1.00;6;;;
16-gen-00;2.00;16;;;
16-gen-00;3.00;27;;;
16-gen-00;4.00;39;;;
16-gen-00;5.00;48;;;
16-gen-00;6.00;52;;;
16-gen-00;7.00;52;;;
16-gen-00;8.00;48;;;
16-gen-00;9.00;33;;;
16-gen-00;10.00;17;;;
16-gen-00;11.00;3;;;
16-gen-00;12.00;-9;;;
16-gen-00;13.00;-20;;;
16-gen-00;14.00;-25;;;
16-gen-00;15.00;-21;;;
16-gen-00;16.00;-10;;;
16-gen-00;17.00;0;;;
16-gen-00;18.00;11;;;
16-gen-00;19.00;19;;;
16-gen-00;20.00;20;;;
16-gen-00;21.00;15;;;
16-gen-00;22.00;8;;;
16-gen-00;23.00;0;;;
17-gen-00;0.00;-4;;;
17-gen-00;1.00;-2;;;
17-gen-00;2.00;4;;;
17-gen-00;3.00;14;;;
17-gen-00;4.00;23;;;
17-gen-00;5.00;35;;;
17-gen-00;6.00;41;;;
17-gen-00;7.00;44;;;
17-gen-00;8.00;43;;;
17-gen-00;9.00;36;;;
17-gen-00;10.00;23;;;
17-gen-00;11.00;4;;;
17-gen-00;12.00;-13;;;
17-gen-00;13.00;-31;;;
17-gen-00;14.00;-42;;;
17-gen-00;15.00;-44;;;
17-gen-00;16.00;-33;;;
17-gen-00;17.00;-21;;;
17-gen-00;18.00;-2;;;
17-gen-00;19.00;11;;;
17-gen-00;20.00;20;;;
17-gen-00;21.00;23;;;
17-gen-00;22.00;20;;;
17-gen-00;23.00;14;;;
18-gen-00;0.00;8;;;
18-gen-00;1.00;3;;;
18-gen-00;2.00;4;;;
18-gen-00;3.00;11;;;
18-gen-00;4.00;23;;;
18-gen-00;5.00;36;;;
18-gen-00;6.00;47;;;
18-gen-00;7.00;59;;;
18-gen-00;8.00;62;;;
18-gen-00;9.00;60;;;
18-gen-00;10.00;46;;;
18-gen-00;11.00;27;;;
18-gen-00;12.00;6;;;
18-gen-00;13.00;-15;;;
18-gen-00;14.00;-33;;;
18-gen-00;15.00;-45;;;
18-gen-00;16.00;-45;;;
18-gen-00;17.00;-31;;;
18-gen-00;18.00;-10;;;
18-gen-00;19.00;11;;;
18-gen-00;20.00;30;;;
18-gen-00;21.00;43;;;
18-gen-00;22.00;52;;;
18-gen-00;23.00;55;;;
19-gen-00;0.00;52;;;
19-gen-00;1.00;47;;;
19-gen-00;2.00;35;;;
19-gen-00;3.00;27;;;
19-gen-00;4.00;27;;;
19-gen-00;5.00;31;;;
19-gen-00;6.00;39;;;
19-gen-00;7.00;47;;;
19-gen-00;8.00;48;;;
19-gen-00;9.00;40;;;
19-gen-00;10.00;27;;;
19-gen-00;11.00;9;;;
19-gen-00;12.00;-8;;;
19-gen-00;13.00;-26;;;
19-gen-00;14.00;-44;;;
19-gen-00;15.00;-57;;;
19-gen-00;16.00;-61;;;
19-gen-00;17.00;-51;;;
19-gen-00;18.00;-31;;;
19-gen-00;19.00;-5;;;
19-gen-00;20.00;17;;;
19-gen-00;21.00;39;;;
19-gen-00;22.00;52;;;
19-gen-00;23.00;56;;;
20-gen-00;0.00;51;;;
20-gen-00;1.00;36;;;
20-gen-00;2.00;20;;;
20-gen-00;3.00;8;;;
20-gen-00;4.00;-1;;;
20-gen-00;5.00;-4;;;
20-gen-00;6.00;4;;;
20-gen-00;7.00;15;;;
20-gen-00;8.00;27;;;
20-gen-00;9.00;36;;;
20-gen-00;10.00;40;;;
20-gen-00;11.00;36;;;
20-gen-00;12.00;22;;;
20-gen-00;13.00;1;;;
20-gen-00;14.00;-21;;;
20-gen-00;15.00;-40;;;
20-gen-00;16.00;-53;;;
20-gen-00;17.00;-56;;;
20-gen-00;18.00;-40;;;
20-gen-00;19.00;-15;;;
20-gen-00;20.00;14;;;
20-gen-00;21.00;38;;;
20-gen-00;22.00;55;;;
20-gen-00;23.00;65;;;
21-gen-00;0.00;63;;;
21-gen-00;1.00;48;;;
21-gen-00;2.00;28;;;
21-gen-00;3.00;9;;;
21-gen-00;4.00;-5;;;
21-gen-00;5.00;-12;;;
21-gen-00;6.00;-5;;;
21-gen-00;7.00;11;;;
21-gen-00;8.00;31;;;
21-gen-00;9.00;50;;;
21-gen-00;10.00;59;;;
21-gen-00;11.00;62;;;
21-gen-00;12.00;52;;;
21-gen-00;13.00;32;;;
21-gen-00;14.00;10;;;
21-gen-00;15.00;-12;;;
21-gen-00;16.00;-32;;;
21-gen-00;17.00;-41;;;
21-gen-00;18.00;-37;;;
21-gen-00;19.00;-20;;;
21-gen-00;20.00;4;;;
21-gen-00;21.00;28;;;
21-gen-00;22.00;47;;;
21-gen-00;23.00;56;;;
22-gen-00;0.00;58;;;
22-gen-00;1.00;46;;;
22-gen-00;2.00;27;;;
22-gen-00;3.00;9;;;
22-gen-00;4.00;-5;;;
22-gen-00;5.00;-10;;;
22-gen-00;6.00;-3;;;
22-gen-00;7.00;9;;;
22-gen-00;8.00;28;;;
22-gen-00;9.00;46;;;
22-gen-00;10.00;60;;;
22-gen-00;11.00;68;;;
22-gen-00;12.00;68;;;
22-gen-00;13.00;57;;;
22-gen-00;14.00;38;;;
22-gen-00;15.00;16;;;
22-gen-00;16.00;-2;;;
22-gen-00;17.00;-17;;;
22-gen-00;18.00;-21;;;
22-gen-00;19.00;-13;;;
22-gen-00;20.00;3;;;
22-gen-00;21.00;23;;;
22-gen-00;22.00;42;;;
22-gen-00;23.00;59;;;
23-gen-00;0.00;67;;;
23-gen-00;1.00;64;;;
23-gen-00;2.00;50;;;
23-gen-00;3.00;31;;;
23-gen-00;4.00;16;;;
23-gen-00;5.00;6;;;
23-gen-00;6.00;-1;;;
23-gen-00;7.00;4;;;
23-gen-00;8.00;22;;;
23-gen-00;9.00;43;;;
23-gen-00;10.00;59;;;
23-gen-00;11.00;63;;;
23-gen-00;12.00;63;;;
23-gen-00;13.00;62;;;
23-gen-00;14.00;43;;;
23-gen-00;15.00;21;;;
23-gen-00;16.00;-1;;;
23-gen-00;17.00;-22;;;
23-gen-00;18.00;-36;;;
23-gen-00;19.00;-39;;;
23-gen-00;20.00;-31;;;
23-gen-00;21.00;-16;;;
23-gen-00;22.00;4;;;
23-gen-00;23.00;23;;;
24-gen-00;0.00;38;;;
24-gen-00;1.00;44;;;
24-gen-00;2.00;44;;;
24-gen-00;3.00;36;;;
24-gen-00;4.00;22;;;
24-gen-00;5.00;11;;;
24-gen-00;6.00;8;;;
24-gen-00;7.00;10;;;
24-gen-00;8.00;22;;;
24-gen-00;9.00;36;;;
24-gen-00;10.00;52;;;
24-gen-00;11.00;64;;;
24-gen-00;12.00;69;;;
24-gen-00;13.00;65;;;
24-gen-00;14.00;49;;;
24-gen-00;15.00;27;;;
24-gen-00;16.00;4;;;
24-gen-00;17.00;-16;;;
24-gen-00;18.00;-33;;;
24-gen-00;19.00;-42;;;
24-gen-00;20.00;-42;;;
24-gen-00;21.00;-28;;;
24-gen-00;22.00;-8;;;
24-gen-00;23.00;11;;;
25-gen-00;0.00;27;;;
25-gen-00;1.00;40;;;
25-gen-00;2.00;46;;;
25-gen-00;3.00;43;;;
25-gen-00;4.00;33;;;
25-gen-00;5.00;21;;;
25-gen-00;6.00;13;;;
25-gen-00;7.00;11;;;
25-gen-00;8.00;15;;;
25-gen-00;9.00;25;;;
25-gen-00;10.00;35;;;
25-gen-00;11.00;43;;;
25-gen-00;12.00;48;;;
25-gen-00;13.00;46;;;
25-gen-00;14.00;34;;;
25-gen-00;15.00;18;;;
25-gen-00;16.00;-1;;;
25-gen-00;17.00;-18;;;
25-gen-00;18.00;-34;;;
25-gen-00;19.00;-44;;;
25-gen-00;20.00;-44;;;
25-gen-00;21.00;-36;;;
25-gen-00;22.00;-19;;;
25-gen-00;23.00;0;;;
26-gen-00;0.00;16;;;
26-gen-00;1.00;31;;;
26-gen-00;2.00;43;;;
26-gen-00;3.00;47;;;
26-gen-00;4.00;43;;;
26-gen-00;5.00;31;;;
26-gen-00;6.00;20;;;
26-gen-00;7.00;8;;;
26-gen-00;8.00;0;;;
26-gen-00;9.00;-1;;;
26-gen-00;10.00;3;;;
26-gen-00;11.00;11;;;
26-gen-00;12.00;16;;;
26-gen-00;13.00;19;;;
26-gen-00;14.00;14;;;
26-gen-00;15.00;3;;;
26-gen-00;16.00;-12;;;
26-gen-00;17.00;-25;;;
26-gen-00;18.00;-37;;;
26-gen-00;19.00;-44;;;
26-gen-00;20.00;-44;;;
26-gen-00;21.00;-34;;;
26-gen-00;22.00;-20;;;
26-gen-00;23.00;-4;;;
27-gen-00;0.00;12;;;
27-gen-00;1.00;27;;;
27-gen-00;2.00;38;;;
27-gen-00;3.00;43;;;
27-gen-00;4.00;43;;;
27-gen-00;5.00;32;;;
27-gen-00;6.00;19;;;
27-gen-00;7.00;7;;;
27-gen-00;8.00;-3;;;
27-gen-00;9.00;-8;;;
27-gen-00;10.00;-8;;;
27-gen-00;11.00;-5;;;
27-gen-00;12.00;-1;;;
27-gen-00;13.00;0;;;
27-gen-00;14.00;-1;;;
27-gen-00;15.00;-7;;;
27-gen-00;16.00;-13;;;
27-gen-00;17.00;-21;;;
27-gen-00;18.00;-24;;;
27-gen-00;19.00;-24;;;
27-gen-00;20.00;-21;;;
27-gen-00;21.00;-16;;;
27-gen-00;22.00;-5;;;
27-gen-00;23.00;7;;;
28-gen-00;0.00;17;;;
28-gen-00;1.00;28;;;
28-gen-00;2.00;36;;;
28-gen-00;3.00;43;;;
28-gen-00;4.00;43;;;
28-gen-00;5.00;39;;;
28-gen-00;6.00;28;;;
28-gen-00;7.00;17;;;
28-gen-00;8.00;8;;;
28-gen-00;9.00;-2;;;
28-gen-00;10.00;-10;;;
28-gen-00;11.00;-15;;;
28-gen-00;12.00;-15;;;
28-gen-00;13.00;-9;;;
28-gen-00;14.00;-8;;;
28-gen-00;15.00;-7;;;
28-gen-00;16.00;-5;;;
28-gen-00;17.00;-7;;;
28-gen-00;18.00;-5;;;
28-gen-00;19.00;-4;;;
28-gen-00;20.00;1;;;
28-gen-00;21.00;6;;;
28-gen-00;22.00;9;;;
28-gen-00;23.00;11;;;
29-gen-00;0.00;15;;;
29-gen-00;1.00;19;;;
29-gen-00;2.00;25;;;
29-gen-00;3.00;31;;;
29-gen-00;4.00;33;;;
29-gen-00;5.00;35;;;
29-gen-00;6.00;31;;;
29-gen-00;7.00;22;;;
29-gen-00;8.00;11;;;
29-gen-00;9.00;1;;;
29-gen-00;10.00;-8;;;
29-gen-00;11.00;-13;;;
29-gen-00;12.00;-16;;;
29-gen-00;13.00;-19;;;
29-gen-00;14.00;-16;;;
29-gen-00;15.00;-10;;;
29-gen-00;16.00;-1;;;
29-gen-00;17.00;6;;;
29-gen-00;18.00;12;;;
29-gen-00;19.00;19;;;
29-gen-00;20.00;22;;;
29-gen-00;21.00;20;;;
29-gen-00;22.00;19;;;
29-gen-00;23.00;17;;;
30-gen-00;0.00;19;;;
30-gen-00;1.00;22;;;
30-gen-00;2.00;30;;;
30-gen-00;3.00;33;;;
30-gen-00;4.00;36;;;
30-gen-00;5.00;38;;;
30-gen-00;6.00;38;;;
30-gen-00;7.00;32;;;
30-gen-00;8.00;25;;;
30-gen-00;9.00;19;;;
30-gen-00;10.00;8;;;
30-gen-00;11.00;-4;;;
30-gen-00;12.00;-10;;;
30-gen-00;13.00;-16;;;
30-gen-00;14.00;-13;;;
30-gen-00;15.00;-8;;;
30-gen-00;16.00;-1;;;
30-gen-00;17.00;8;;;
30-gen-00;18.00;17;;;
30-gen-00;19.00;20;;;
30-gen-00;20.00;23;;;
30-gen-00;21.00;25;;;
30-gen-00;22.00;25;;;
30-gen-00;23.00;22;;;
31-gen-00;0.00;16;;;
31-gen-00;1.00;11;;;
31-gen-00;2.00;9;;;
31-gen-00;3.00;11;;;
31-gen-00;4.00;19;;;
31-gen-00;5.00;27;;;
31-gen-00;6.00;31;;;
31-gen-00;7.00;31;;;
31-gen-00;8.00;27;;;
31-gen-00;9.00;22;;;
31-gen-00;10.00;14;;;
31-gen-00;11.00;4;;;
31-gen-00;12.00;-5;;;
31-gen-00;13.00;-12;;;
31-gen-00;14.00;-16;;;
31-gen-00;15.00;-18;;;
31-gen-00;16.00;-14;;;
31-gen-00;17.00;-5;;;
31-gen-00;18.00;6;;;
31-gen-00;19.00;17;;;
31-gen-00;20.00;28;;;
31-gen-00;21.00;32;;;
31-gen-00;22.00;31;;;
31-gen-00;23.00;23;;;
1-feb-00;0.00;15;;;
1-feb-00;1.00;6;;;
1-feb-00;2.00;-1;;;
1-feb-00;3.00;-1;;;
1-feb-00;4.00;4;;;
1-feb-00;5.00;11;;;
1-feb-00;6.00;20;;;
1-feb-00;7.00;28;;;
1-feb-00;8.00;31;;;
1-feb-00;9.00;28;;;
1-feb-00;10.00;20;;;
1-feb-00;11.00;9;;;
1-feb-00;12.00;-5;;;
1-feb-00;13.00;-17;;;
1-feb-00;14.00;-28;;;
1-feb-00;15.00;-33;;;
1-feb-00;16.00;-31;;;
1-feb-00;17.00;-21;;;
1-feb-00;18.00;-6;;;
1-feb-00;19.00;8;;;
1-feb-00;20.00;20;;;
1-feb-00;21.00;30;;;
1-feb-00;22.00;31;;;
1-feb-00;23.00;27;;;
2-feb-00;0.00;16;;;
2-feb-00;1.00;3;;;
2-feb-00;2.00;-6;;;
2-feb-00;3.00;-8;;;
2-feb-00;4.00;-1;;;
2-feb-00;5.00;11;;;
2-feb-00;6.00;24;;;
2-feb-00;7.00;36;;;
2-feb-00;8.00;44;;;
2-feb-00;9.00;48;;;
2-feb-00;10.00;40;;;
2-feb-00;11.00;27;;;
2-feb-00;12.00;9;;;
2-feb-00;13.00;-7;;;
2-feb-00;14.00;-21;;;
2-feb-00;15.00;-31;;;
2-feb-00;16.00;-35;;;
2-feb-00;17.00;-29;;;
2-feb-00;18.00;-16;;;
2-feb-00;19.00;1;;;
2-feb-00;20.00;16;;;
2-feb-00;21.00;28;;;
2-feb-00;22.00;35;;;
2-feb-00;23.00;35;;;
3-feb-00;0.00;27;;;
3-feb-00;1.00;14;;;
3-feb-00;2.00;3;;;
3-feb-00;3.00;-4;;;
3-feb-00;4.00;-5;;;
3-feb-00;5.00;4;;;
3-feb-00;6.00;19;;;
3-feb-00;7.00;35;;;
3-feb-00;8.00;46;;;
3-feb-00;9.00;49;;;
3-feb-00;10.00;48;;;
3-feb-00;11.00;35;;;
3-feb-00;12.00;16;;;
3-feb-00;13.00;-5;;;
3-feb-00;14.00;-25;;;
3-feb-00;15.00;-40;;;
3-feb-00;16.00;-50;;;
3-feb-00;17.00;-49;;;
3-feb-00;18.00;-37;;;
3-feb-00;19.00;-20;;;
3-feb-00;20.00;0;;;
3-feb-00;21.00;16;;;
3-feb-00;22.00;27;;;
3-feb-00;23.00;31;;;
4-feb-00;0.00;27;;;
4-feb-00;1.00;17;;;
4-feb-00;2.00;4;;;
4-feb-00;3.00;-5;;;
4-feb-00;4.00;-8;;;
4-feb-00;5.00;-5;;;
4-feb-00;6.00;7;;;
4-feb-00;7.00;22;;;
4-feb-00;8.00;35;;;
4-feb-00;9.00;42;;;
4-feb-00;10.00;42;;;
4-feb-00;11.00;32;;;
4-feb-00;12.00;14;;;
4-feb-00;13.00;-8;;;
4-feb-00;14.00;-30;;;
4-feb-00;15.00;-50;;;
4-feb-00;16.00;-65;;;
4-feb-00;17.00;-68;;;
4-feb-00;18.00;-56;;;
4-feb-00;19.00;-37;;;
4-feb-00;20.00;-13;;;
4-feb-00;21.00;4;;;
4-feb-00;22.00;20;;;
4-feb-00;23.00;31;;;
5-feb-00;0.00;31;;;
5-feb-00;1.00;23;;;
5-feb-00;2.00;11;;;
5-feb-00;3.00;-1;;;
5-feb-00;4.00;-9;;;
5-feb-00;5.00;-12;;;
5-feb-00;6.00;-5;;;
5-feb-00;7.00;8;;;
5-feb-00;8.00;22;;;
5-feb-00;9.00;35;;;
5-feb-00;10.00;40;;;
5-feb-00;11.00;39;;;
5-feb-00;12.00;24;;;
5-feb-00;13.00;4;;;
