Data;Ora solare;Livello Punta Salute (cm);;;
1-gen-00;1.00;25;;;
1-gen-00;2.00;31;;;
1-gen-00;3.00;39;;;
1-gen-00;4.00;50;;;
1-gen-00;5.00;57;;;
1-gen-00;6.00;60;;;
1-gen-00;7.00;59;;;
1-gen-00;8.00;51;;;
1-gen-00;9.00;36;;;
1-gen-00;10.00;20;;;
1-gen-00;11.00;4;;;
1-gen-00;12.00;-13;;;
1-gen-00;13.00;-29;;;
1-gen-00;14.00;-41;;;
1-gen-00;15.00;-47;;;
1-gen-00;16.00;-41;;;
1-gen-00;17.00;-27;;;
1-gen-00;18.00;-8;;;
1-gen-00;19.00;10;;;
1-gen-00;20.00;22;;;
1-gen-00;21.00;31;;;
1-gen-00;22.00;32;;;
1-gen-00;23.00;31;;;
2-gen-00;0.00;25;;;
2-gen-00;1.00;20;;;
2-gen-00;2.00;17;;;
2-gen-00;3.00;23;;;
2-gen-00;4.00;30;;;
2-gen-00;5.00;39;;;
2-gen-00;6.00;44;;;
2-gen-00;7.00;46;;;
2-gen-00;8.00;41;;;
2-gen-00;9.00;30;;;
2-gen-00;10.00;16;;;
2-gen-00;11.00;-1;;;
2-gen-00;12.00;-17;;;
2-gen-00;13.00;-32;;;
2-gen-00;14.00;-42;;;
2-gen-00;15.00;-45;;;
2-gen-00;16.00;-40;;;
2-gen-00;17.00;-25;;;
2-gen-00;18.00;-8;;;
2-gen-00;19.00;9;;;
2-gen-00;20.00;23;;;
2-gen-00;21.00;32;;;
2-gen-00;22.00;32;;;
2-gen-00;23.00;27;;;
3-gen-00;0.00;17;;;
3-gen-00;1.00;6;;;
3-gen-00;2.00;0;;;
3-gen-00;3.00;-1;;;
3-gen-00;4.00;4;;;
3-gen-00;5.00;16;;;
3-gen-00;6.00;28;;;
3-gen-00;7.00;35;;;
3-gen-00;8.00;38;;;
3-gen-00;9.00;33;;;
3-gen-00;10.00;23;;;
3-gen-00;11.00;8;;;
3-gen-00;12.00;-8;;;
3-gen-00;13.00;-23;;;
3-gen-00;14.00;-36;;;
3-gen-00;15.00;-41;;;
3-gen-00;16.00;-38;;;
3-gen-00;17.00;-28;;;
3-gen-00;18.00;-10;;;
3-gen-00;19.00;8;;;
3-gen-00;20.00;23;;;
3-gen-00;21.00;31;;;
3-gen-00;22.00;35;;;
3-gen-00;23.00;32;;;
4-gen-00;0.00;20;;;
4-gen-00;1.00;7;;;
4-gen-00;2.00;-5;;;
4-gen-00;3.00;-10;;;
4-gen-00;4.00;-8;;;
4-gen-00;5.00;3;;;
4-gen-00;6.00;18;;;
4-gen-00;7.00;31;;;
4-gen-00;8.00;39;;;
4-gen-00;9.00;43;;;
4-gen-00;10.00;38;;;
4-gen-00;11.00;26;;;
4-gen-00;12.00;8;;;
4-gen-00;13.00;-8;;;
4-gen-00;14.00;-25;;;
4-gen-00;15.00;-37;;;
4-gen-00;16.00;-41;;;
4-gen-00;17.00;-36;;;
4-gen-00;18.00;-21;;;
4-gen-00;19.00;-1;;;
4-gen-00;20.00;16;;;
4-gen-00;21.00;28;;;
4-gen-00;22.00;36;;;
4-gen-00;23.00;36;;;
5-gen-00;0.00;27;;;
5-gen-00;1.00;14;;;
5-gen-00;2.00;1;;;
5-gen-00;3.00;-8;;;
5-gen-00;4.00;-9;;;
5-gen-00;5.00;-1;;;
5-gen-00;6.00;12;;;
5-gen-00;7.00;30;;;
5-gen-00;8.00;43;;;
5-gen-00;9.00;51;;;
5-gen-00;10.00;52;;;
5-gen-00;11.00;40;;;
5-gen-00;12.00;23;;;
5-gen-00;13.00;1;;;
5-gen-00;14.00;-17;;;
5-gen-00;15.00;-35;;;
5-gen-00;16.00;-47;;;
5-gen-00;17.00;-48;;;
5-gen-00;18.00;-36;;;
5-gen-00;19.00;-18;;;
5-gen-00;20.00;3;;;
5-gen-00;21.00;17;;;
5-gen-00;22.00;28;;;
5-gen-00;23.00;35;;;
6-gen-00;0.00;31;;;
6-gen-00;1.00;22;;;
6-gen-00;2.00;9;;;
6-gen-00;3.00;-1;;;
6-gen-00;4.00;-4;;;
6-gen-00;5.00;-1;;;
6-gen-00;6.00;11;;;
6-gen-00;7.00;27;;;
6-gen-00;8.00;43;;;
6-gen-00;9.00;53;;;
6-gen-00;10.00;57;;;
6-gen-00;11.00;52;;;
6-gen-00;12.00;35;;;
6-gen-00;13.00;15;;;
6-gen-00;14.00;-8;;;
6-gen-00;15.00;-29;;;
6-gen-00;16.00;-44;;;
6-gen-00;17.00;-50;;;
6-gen-00;18.00;-45;;;
6-gen-00;19.00;-29;;;
6-gen-00;20.00;-8;;;
6-gen-00;21.00;9;;;
6-gen-00;22.00;23;;;
6-gen-00;23.00;33;;;
7-gen-00;0.00;36;;;
7-gen-00;1.00;28;;;
7-gen-00;2.00;16;;;
7-gen-00;3.00;5;;;
7-gen-00;4.00;-4;;;
7-gen-00;5.00;-5;;;
7-gen-00;6.00;4;;;
7-gen-00;7.00;19;;;
7-gen-00;8.00;34;;;
7-gen-00;9.00;47;;;
7-gen-00;10.00;52;;;
7-gen-00;11.00;51;;;
7-gen-00;12.00;38;;;
7-gen-00;13.00;19;;;
7-gen-00;14.00;-4;;;
7-gen-00;15.00;-24;;;
7-gen-00;16.00;-41;;;
7-gen-00;17.00;-52;;;
7-gen-00;18.00;-50;;;
7-gen-00;19.00;-36;;;
7-gen-00;20.00;-16;;;
7-gen-00;21.00;4;;;
7-gen-00;22.00;20;;;
7-gen-00;23.00;31;;;
8-gen-00;0.00;38;;;
8-gen-00;1.00;38;;;
8-gen-00;2.00;30;;;
8-gen-00;3.00;17;;;
8-gen-00;4.00;6;;;
8-gen-00;5.00;0;;;
8-gen-00;6.00;0;;;
8-gen-00;7.00;8;;;
8-gen-00;8.00;23;;;
8-gen-00;9.00;39;;;
8-gen-00;10.00;50;;;
8-gen-00;11.00;54;;;
8-gen-00;12.00;48;;;
8-gen-00;13.00;31;;;
8-gen-00;14.00;9;;;
8-gen-00;15.00;-12;;;
8-gen-00;16.00;-32;;;
8-gen-00;17.00;-45;;;
8-gen-00;18.00;-51;;;
8-gen-00;19.00;-44;;;
8-gen-00;20.00;-25;;;
