Data;Ora solare;Livello Punta Salute (cm)
1-gen-94;1.00;63
1-gen-94;2.00;63
1-gen-94;3.00;55
1-gen-94;4.00;41
1-gen-94;5.00;31
1-gen-94;6.00;27
1-gen-94;7.00;34
1-gen-94;8.00;46
1-gen-94;9.00;60
1-gen-94;10.00;75
1-gen-94;11.00;87
1-gen-94;12.00;97
1-gen-94;13.00;100
1-gen-94;14.00;81
1-gen-94;15.00;55
1-gen-94;16.00;35
1-gen-94;17.00;19
1-gen-94;18.00;-1
1-gen-94;19.00;-15
1-gen-94;20.00;-7
1-gen-94;21.00;11
1-gen-94;22.00;30
1-gen-94;23.00;43
2-gen-94;0.00;48
2-gen-94;1.00;46
2-gen-94;2.00;39
2-gen-94;3.00;28
2-gen-94;4.00;19
2-gen-94;5.00;11
2-gen-94;6.00;2
2-gen-94;7.00;3
2-gen-94;8.00;19
2-gen-94;9.00;37
2-gen-94;10.00;58
2-gen-94;11.00;75
2-gen-94;12.00;80
2-gen-94;13.00;76
2-gen-94;14.00;68
2-gen-94;15.00;54
2-gen-94;16.00;36
2-gen-94;17.00;18
2-gen-94;18.00;3
2-gen-94;19.00;-12
2-gen-94;20.00;-20
2-gen-94;21.00;-16
2-gen-94;22.00;-5
2-gen-94;23.00;11
3-gen-94;0.00;27
3-gen-94;1.00;39
3-gen-94;2.00;51
3-gen-94;3.00;52
3-gen-94;4.00;49
3-gen-94;5.00;44
3-gen-94;6.00;39
3-gen-94;7.00;36
3-gen-94;8.00;39
3-gen-94;9.00;45
3-gen-94;10.00;48
3-gen-94;11.00;52
3-gen-94;12.00;54
3-gen-94;13.00;54
3-gen-94;14.00;48
3-gen-94;15.00;38
3-gen-94;16.00;24
3-gen-94;17.00;10
3-gen-94;18.00;-4
3-gen-94;19.00;-15
3-gen-94;20.00;-20
3-gen-94;21.00;-17
3-gen-94;22.00;-5
3-gen-94;23.00;11
4-gen-94;0.00;30
4-gen-94;1.00;48
4-gen-94;2.00;63
4-gen-94;3.00;76
4-gen-94;4.00;84
4-gen-94;5.00;80
4-gen-94;6.00;75
4-gen-94;7.00;64
4-gen-94;8.00;52
4-gen-94;9.00;43
4-gen-94;10.00;39
4-gen-94;11.00;38
4-gen-94;12.00;39
4-gen-94;13.00;44
4-gen-94;14.00;48
4-gen-94;15.00;47
4-gen-94;16.00;39
4-gen-94;17.00;31
4-gen-94;18.00;20
4-gen-94;19.00;15
4-gen-94;20.00;16
4-gen-94;21.00;25
4-gen-94;22.00;35
4-gen-94;23.00;48
5-gen-94;0.00;63
5-gen-94;1.00;75
5-gen-94;2.00;84
5-gen-94;3.00;94
5-gen-94;4.00;100
5-gen-94;5.00;95
5-gen-94;6.00;86
5-gen-94;7.00;70
5-gen-94;8.00;51
5-gen-94;9.00;37
5-gen-94;10.00;24
5-gen-94;11.00;15
5-gen-94;12.00;11
5-gen-94;13.00;11
5-gen-94;14.00;9
5-gen-94;15.00;8
5-gen-94;16.00;8
5-gen-94;17.00;11
5-gen-94;18.00;17
5-gen-94;19.00;23
5-gen-94;20.00;28
5-gen-94;21.00;32
5-gen-94;22.00;36
5-gen-94;23.00;39
6-gen-94;0.00;48
6-gen-94;1.00;58
6-gen-94;2.00;71
6-gen-94;3.00;81
6-gen-94;4.00;89
6-gen-94;5.00;91
6-gen-94;6.00;86
6-gen-94;7.00;72
6-gen-94;8.00;58
6-gen-94;9.00;44
6-gen-94;10.00;32
6-gen-94;11.00;20
6-gen-94;12.00;11
6-gen-94;13.00;8
6-gen-94;14.00;7
6-gen-94;15.00;8
6-gen-94;16.00;16
6-gen-94;17.00;28
6-gen-94;18.00;42
6-gen-94;19.00;53
6-gen-94;20.00;59
6-gen-94;21.00;63
6-gen-94;22.00;63
6-gen-94;23.00;62
7-gen-94;0.00;59
7-gen-94;1.00;60
7-gen-94;2.00;63
7-gen-94;3.00;68
7-gen-94;4.00;72
7-gen-94;5.00;79
7-gen-94;6.00;84
7-gen-94;7.00;80
7-gen-94;8.00;72
7-gen-94;9.00;58
7-gen-94;10.00;44
7-gen-94;11.00;30
7-gen-94;12.00;17
7-gen-94;13.00;8
7-gen-94;14.00;4
7-gen-94;15.00;11
7-gen-94;16.00;24
7-gen-94;17.00;42
7-gen-94;18.00;59
7-gen-94;19.00;73
7-gen-94;20.00;83
7-gen-94;21.00;87
7-gen-94;22.00;86
7-gen-94;23.00;76
8-gen-94;0.00;67
8-gen-94;1.00;59
8-gen-94;2.00;54
8-gen-94;3.00;52
8-gen-94;4.00;57
8-gen-94;5.00;67
8-gen-94;6.00;73
8-gen-94;7.00;75
8-gen-94;8.00;72
8-gen-94;9.00;63
8-gen-94;10.00;48
8-gen-94;11.00;33
8-gen-94;12.00;17
8-gen-94;13.00;4
8-gen-94;14.00;-7
8-gen-94;15.00;-9
8-gen-94;16.00;-1
8-gen-94;17.00;16
8-gen-94;18.00;33
8-gen-94;19.00;49
8-gen-94;20.00;60
8-gen-94;21.00;67
8-gen-94;22.00;65
8-gen-94;23.00;56
9-gen-94;0.00;44
9-gen-94;1.00;35
9-gen-94;2.00;29
9-gen-94;3.00;27
9-gen-94;4.00;33
9-gen-94;5.00;46
