Data;Ora solare;Livello Punta Salute (cm)
1-gen-90;1.00;36
1-gen-90;2.00;39
1-gen-90;3.00;36
1-gen-90;4.00;27
1-gen-90;5.00;17
1-gen-90;6.00;8
1-gen-90;7.00;5
1-gen-90;8.00;7
1-gen-90;9.00;16
1-gen-90;10.00;25
1-gen-90;11.00;36
1-gen-90;12.00;41
1-gen-90;13.00;40
1-gen-90;14.00;32
1-gen-90;15.00;17
1-gen-90;16.00;-1
1-gen-90;17.00;-19
1-gen-90;18.00;-33
1-gen-90;19.00;-40
1-gen-90;20.00;-41
1-gen-90;21.00;-31
1-gen-90;22.00;-15
1-gen-90;23.00;4
2-gen-90;0.00;21
2-gen-90;1.00;33
2-gen-90;2.00;41
2-gen-90;3.00;43
2-gen-90;4.00;38
2-gen-90;5.00;28
2-gen-90;6.00;17
2-gen-90;7.00;9
2-gen-90;8.00;7
2-gen-90;9.00;8
2-gen-90;10.00;16
2-gen-90;11.00;25
2-gen-90;12.00;32
2-gen-90;13.00;35
2-gen-90;14.00;30
2-gen-90;15.00;17
2-gen-90;16.00;1
2-gen-90;17.00;-16
2-gen-90;18.00;-29
2-gen-90;19.00;-39
2-gen-90;20.00;-39
2-gen-90;21.00;-29
2-gen-90;22.00;-16
2-gen-90;23.00;1
3-gen-90;0.00;16
3-gen-90;1.00;31
3-gen-90;2.00;39
3-gen-90;3.00;46
3-gen-90;4.00;47
3-gen-90;5.00;39
3-gen-90;6.00;31
3-gen-90;7.00;19
3-gen-90;8.00;9
3-gen-90;9.00;4
3-gen-90;10.00;4
3-gen-90;11.00;8
3-gen-90;12.00;15
3-gen-90;13.00;20
3-gen-90;14.00;20
3-gen-90;15.00;16
3-gen-90;16.00;8
3-gen-90;17.00;-4
3-gen-90;18.00;-12
3-gen-90;19.00;-20
3-gen-90;20.00;-23
3-gen-90;21.00;-17
3-gen-90;22.00;-7
3-gen-90;23.00;6
4-gen-90;0.00;20
4-gen-90;1.00;33
4-gen-90;2.00;46
4-gen-90;3.00;54
4-gen-90;4.00;56
4-gen-90;5.00;52
4-gen-90;6.00;43
4-gen-90;7.00;31
4-gen-90;8.00;16
4-gen-90;9.00;6
4-gen-90;10.00;-1
4-gen-90;11.00;-5
4-gen-90;12.00;-5
4-gen-90;13.00;-1
4-gen-90;14.00;4
4-gen-90;15.00;6
4-gen-90;16.00;4
