Data;Ora solare;Livello Punta Salute (cm)
1-gen-89;1.00;6
1-gen-89;2.00;18
1-gen-89;3.00;27
1-gen-89;4.00;31
1-gen-89;5.00;34
1-gen-89;6.00;30
1-gen-89;7.00;20
1-gen-89;8.00;9
1-gen-89;9.00;-3
1-gen-89;10.00;-12
1-gen-89;11.00;-21
1-gen-89;12.00;-26
1-gen-89;13.00;-29
1-gen-89;14.00;-29
1-gen-89;15.00;-26
1-gen-89;16.00;-23
1-gen-89;17.00;-18
1-gen-89;18.00;-13
1-gen-89;19.00;-10
1-gen-89;20.00;-9
1-gen-89;21.00;-10
1-gen-89;22.00;-10
1-gen-89;23.00;-9
2-gen-89;0.00;-4
2-gen-89;1.00;6
2-gen-89;2.00;15
2-gen-89;3.00;22
2-gen-89;4.00;26
2-gen-89;5.00;30
2-gen-89;6.00;28
2-gen-89;7.00;23
2-gen-89;8.00;12
2-gen-89;9.00;3
2-gen-89;10.00;-10
2-gen-89;11.00;-20
2-gen-89;12.00;-28
2-gen-89;13.00;-33
2-gen-89;14.00;-36
2-gen-89;15.00;-33
2-gen-89;16.00;-26
2-gen-89;17.00;-18
2-gen-89;18.00;-9
2-gen-89;19.00;1
2-gen-89;20.00;8
2-gen-89;21.00;12
2-gen-89;22.00;15
2-gen-89;23.00;15
3-gen-89;0.00;14
3-gen-89;1.00;14
3-gen-89;2.00;15
3-gen-89;3.00;20
3-gen-89;4.00;28
3-gen-89;5.00;35
3-gen-89;6.00;37
3-gen-89;7.00;38
3-gen-89;8.00;31
3-gen-89;9.00;20
3-gen-89;10.00;8
3-gen-89;11.00;-7
3-gen-89;12.00;-20
3-gen-89;13.00;-33
3-gen-89;14.00;-40
3-gen-89;15.00;-44
3-gen-89;16.00;-39
3-gen-89;17.00;-26
3-gen-89;18.00;-12
3-gen-89;19.00;0
3-gen-89;20.00;10
3-gen-89;21.00;15
3-gen-89;22.00;16
3-gen-89;23.00;12
4-gen-89;0.00;7
4-gen-89;1.00;3
4-gen-89;2.00;0
4-gen-89;3.00;6
4-gen-89;4.00;14
4-gen-89;5.00;22
4-gen-89;6.00;30
4-gen-89;7.00;33
4-gen-89;8.00;33
4-gen-89;9.00;25
4-gen-89;10.00;14
4-gen-89;11.00;-1
4-gen-89;12.00;-17
4-gen-89;13.00;-33
4-gen-89;14.00;-44
4-gen-89;15.00;-49
4-gen-89;16.00;-47
4-gen-89;17.00;-34
4-gen-89;18.00;-18
4-gen-89;19.00;-1
4-gen-89;20.00;12
4-gen-89;21.00;22
4-gen-89;22.00;27
4-gen-89;23.00;24
5-gen-89;0.00;16
5-gen-89;1.00;7
5-gen-89;2.00;0
5-gen-89;3.00;-1
5-gen-89;4.00;4
5-gen-89;5.00;14
5-gen-89;6.00;25
5-gen-89;7.00;34
5-gen-89;8.00;37
5-gen-89;9.00;36
5-gen-89;10.00;27
5-gen-89;11.00;12
5-gen-89;12.00;-5
5-gen-89;13.00;-24
5-gen-89;14.00;-40
5-gen-89;15.00;-52
5-gen-89;16.00;-53
5-gen-89;17.00;-44
5-gen-89;18.00;-29
5-gen-89;19.00;-10
5-gen-89;20.00;6
5-gen-89;21.00;20
5-gen-89;22.00;27
5-gen-89;23.00;28
