Data;Ora solare;Livello Punta Salute (cm)
1-gen-91;1.00;35
1-gen-91;2.00;22
1-gen-91;3.00;8
1-gen-91;4.00;-1
1-gen-91;5.00;-2
1-gen-91;6.00;8
1-gen-91;7.00;23
1-gen-91;8.00;39
1-gen-91;9.00;52
1-gen-91;10.00;60
1-gen-91;11.00;60
1-gen-91;12.00;48
1-gen-91;13.00;30
1-gen-91;14.00;4
1-gen-91;15.00;-21
1-gen-91;16.00;-44
1-gen-91;17.00;-61
1-gen-91;18.00;-60
1-gen-91;19.00;-42
1-gen-91;20.00;-25
1-gen-91;21.00;-1
1-gen-91;22.00;20
1-gen-91;23.00;35
2-gen-91;0.00;42
2-gen-91;1.00;35
2-gen-91;2.00;20
2-gen-91;3.00;4
2-gen-91;4.00;-10
2-gen-91;5.00;-20
2-gen-91;6.00;-21
2-gen-91;7.00;-10
2-gen-91;8.00;7
2-gen-91;9.00;19
2-gen-91;10.00;31
2-gen-91;11.00;41
2-gen-91;12.00;45
2-gen-91;13.00;35
2-gen-91;14.00;16
2-gen-91;15.00;-9
2-gen-91;16.00;-33
2-gen-91;17.00;-53
2-gen-91;18.00;-56
2-gen-91;19.00;-44
2-gen-91;20.00;-25
2-gen-91;21.00;-4
2-gen-91;22.00;15
2-gen-91;23.00;31
3-gen-91;0.00;38
3-gen-91;1.00;41
3-gen-91;2.00;33
3-gen-91;3.00;20
3-gen-91;4.00;4
3-gen-91;5.00;-8
3-gen-91;6.00;-13
3-gen-91;7.00;-9
3-gen-91;8.00;4
3-gen-91;9.00;22
3-gen-91;10.00;39
3-gen-91;11.00;51
3-gen-91;12.00;54
3-gen-91;13.00;43
3-gen-91;14.00;27
3-gen-91;15.00;6
3-gen-91;16.00;-13
3-gen-91;17.00;-31
3-gen-91;18.00;-40
3-gen-91;19.00;-44
3-gen-91;20.00;-36
3-gen-91;21.00;-21
3-gen-91;22.00;-2
3-gen-91;23.00;16
4-gen-91;0.00;31
4-gen-91;1.00;41
4-gen-91;2.00;43
4-gen-91;3.00;34
4-gen-91;4.00;22
4-gen-91;5.00;8
4-gen-91;6.00;-1
4-gen-91;7.00;-4
4-gen-91;8.00;6
4-gen-91;9.00;19
4-gen-91;10.00;31
4-gen-91;11.00;43
4-gen-91;12.00;47
4-gen-91;13.00;43
4-gen-91;14.00;32
4-gen-91;15.00;17
4-gen-91;16.00;-1
4-gen-91;17.00;-19
4-gen-91;18.00;-33
4-gen-91;19.00;-42
4-gen-91;20.00;-40
4-gen-91;21.00;-25
4-gen-91;22.00;-5
4-gen-91;23.00;16
5-gen-91;0.00;32
5-gen-91;1.00;46
5-gen-91;2.00;52
5-gen-91;3.00;49
5-gen-91;4.00;40
5-gen-91;5.00;28
5-gen-91;6.00;17
5-gen-91;7.00;11
5-gen-91;8.00;9
5-gen-91;9.00;12
5-gen-91;10.00;22
5-gen-91;11.00;30
5-gen-91;12.00;36
5-gen-91;13.00;38
5-gen-91;14.00;30
5-gen-91;15.00;15
5-gen-91;16.00;-3
5-gen-91;17.00;-17
5-gen-91;18.00;-28
5-gen-91;19.00;-33
5-gen-91;20.00;-28
5-gen-91;21.00;-18
5-gen-91;22.00;-5
5-gen-91;23.00;10
