Data;Ora solare;Livello Punta Salute (cm)
1-gen-85;1.00;8
1-gen-85;2.00;15
1-gen-85;3.00;25
1-gen-85;4.00;36
1-gen-85;5.00;44
1-gen-85;6.00;49
1-gen-85;7.00;52
1-gen-85;8.00;49
1-gen-85;9.00;39
1-gen-85;10.00;27
1-gen-85;11.00;14
1-gen-85;12.00;2
1-gen-85;13.00;-7
1-gen-85;14.00;-12
1-gen-85;15.00;-12
1-gen-85;16.00;-7
1-gen-85;17.00;1
1-gen-85;18.00;10
1-gen-85;19.00;16
1-gen-85;20.00;17
1-gen-85;21.00;17
1-gen-85;22.00;16
1-gen-85;23.00;14
2-gen-85;0.00;14
2-gen-85;1.00;16
2-gen-85;2.00;23
2-gen-85;3.00;32
2-gen-85;4.00;43
2-gen-85;5.00;54
2-gen-85;6.00;59
2-gen-85;7.00;63
2-gen-85;8.00;60
2-gen-85;9.00;52
2-gen-85;10.00;40
2-gen-85;11.00;27
2-gen-85;12.00;12
2-gen-85;13.00;0
2-gen-85;14.00;-8
2-gen-85;15.00;-9
2-gen-85;16.00;-5
2-gen-85;17.00;6
2-gen-85;18.00;17
2-gen-85;19.00;27
2-gen-85;20.00;35
2-gen-85;21.00;36
2-gen-85;22.00;36
2-gen-85;23.00;31
3-gen-85;0.00;25
3-gen-85;1.00;23
3-gen-85;2.00;22
3-gen-85;3.00;27
3-gen-85;4.00;36
3-gen-85;5.00;46
3-gen-85;6.00;55
3-gen-85;7.00;65
3-gen-85;8.00;68
3-gen-85;9.00;64
3-gen-85;10.00;55
3-gen-85;11.00;40
3-gen-85;12.00;23
3-gen-85;13.00;8
3-gen-85;14.00;-5
3-gen-85;15.00;-12
3-gen-85;16.00;-9
3-gen-85;17.00;4
3-gen-85;18.00;20
3-gen-85;19.00;36
3-gen-85;20.00;48
3-gen-85;21.00;52
3-gen-85;22.00;52
3-gen-85;23.00;44
4-gen-85;0.00;33
4-gen-85;1.00;24
4-gen-85;2.00;20
4-gen-85;3.00;23
4-gen-85;4.00;31
4-gen-85;5.00;46
4-gen-85;6.00;61
4-gen-85;7.00;71
4-gen-85;8.00;78
4-gen-85;9.00;79
4-gen-85;10.00;69
4-gen-85;11.00;54
4-gen-85;12.00;36
4-gen-85;13.00;20
4-gen-85;14.00;4
4-gen-85;15.00;-4
4-gen-85;16.00;-5
4-gen-85;17.00;1
4-gen-85;18.00;16
4-gen-85;19.00;33
4-gen-85;20.00;46
4-gen-85;21.00;55
4-gen-85;22.00;56
4-gen-85;23.00;57
5-gen-85;0.00;55
5-gen-85;1.00;46
5-gen-85;2.00;41
5-gen-85;3.00;43
5-gen-85;4.00;52
5-gen-85;5.00;57
5-gen-85;6.00;65
5-gen-85;7.00;75
5-gen-85;8.00;84
5-gen-85;9.00;86
5-gen-85;10.00;84
5-gen-85;11.00;75
5-gen-85;12.00;57
5-gen-85;13.00;33
5-gen-85;14.00;16
5-gen-85;15.00;-1
5-gen-85;16.00;-15
5-gen-85;17.00;-20
