Data;Ora solare;Livello Punta Salute (cm)
1-gen-84;1.00;10
1-gen-84;2.00;1
1-gen-84;3.00;-2
1-gen-84;4.00;2
1-gen-84;5.00;13
1-gen-84;6.00;27
1-gen-84;7.00;42
1-gen-84;8.00;54
1-gen-84;9.00;58
1-gen-84;10.00;50
1-gen-84;11.00;36
1-gen-84;12.00;19
1-gen-84;13.00;-2
1-gen-84;14.00;-20
1-gen-84;15.00;-34
1-gen-84;16.00;-41
1-gen-84;17.00;-35
1-gen-84;18.00;-20
1-gen-84;19.00;-2
1-gen-84;20.00;16
1-gen-84;21.00;30
1-gen-84;22.00;39
1-gen-84;23.00;40
2-gen-84;0.00;33
2-gen-84;1.00;23
2-gen-84;2.00;11
2-gen-84;3.00;3
2-gen-84;4.00;4
2-gen-84;5.00;15
2-gen-84;6.00;30
2-gen-84;7.00;45
2-gen-84;8.00;58
2-gen-84;9.00;63
2-gen-84;10.00;60
2-gen-84;11.00;48
2-gen-84;12.00;31
2-gen-84;13.00;8
2-gen-84;14.00;-13
2-gen-84;15.00;-27
2-gen-84;16.00;-40
2-gen-84;17.00;-42
2-gen-84;18.00;-33
2-gen-84;19.00;-17
2-gen-84;20.00;3
2-gen-84;21.00;20
2-gen-84;22.00;33
2-gen-84;23.00;40
3-gen-84;0.00;40
3-gen-84;1.00;33
3-gen-84;2.00;24
3-gen-84;3.00;15
3-gen-84;4.00;9
3-gen-84;5.00;12
3-gen-84;6.00;22
3-gen-84;7.00;36
3-gen-84;8.00;50
3-gen-84;9.00;61
3-gen-84;10.00;66
3-gen-84;11.00;60
3-gen-84;12.00;46
3-gen-84;13.00;27
3-gen-84;14.00;6
3-gen-84;15.00;-14
3-gen-84;16.00;-30
3-gen-84;17.00;-37
3-gen-84;18.00;-32
3-gen-84;19.00;-15
3-gen-84;20.00;6
3-gen-84;21.00;27
3-gen-84;22.00;45
3-gen-84;23.00;57
4-gen-84;0.00;61
4-gen-84;1.00;61
4-gen-84;2.00;53
4-gen-84;3.00;40
4-gen-84;4.00;30
4-gen-84;5.00;27
4-gen-84;6.00;29
4-gen-84;7.00;39
4-gen-84;8.00;52
4-gen-84;9.00;63
4-gen-84;10.00;71
4-gen-84;11.00;69
4-gen-84;12.00;56
4-gen-84;13.00;35
4-gen-84;14.00;13
4-gen-84;15.00;-9
4-gen-84;16.00;-28
4-gen-84;17.00;-39
4-gen-84;18.00;-43
4-gen-84;19.00;-36
4-gen-84;20.00;-18
4-gen-84;21.00;-1
4-gen-84;22.00;18
4-gen-84;23.00;31
5-gen-84;0.00;39
5-gen-84;1.00;38
5-gen-84;2.00;32
5-gen-84;3.00;23
5-gen-84;4.00;15
5-gen-84;5.00;8
5-gen-84;6.00;6
5-gen-84;7.00;11
5-gen-84;8.00;22
5-gen-84;9.00;33
5-gen-84;10.00;43
5-gen-84;11.00;47
5-gen-84;12.00;42
5-gen-84;13.00;29
5-gen-84;14.00;13
5-gen-84;15.00;-8
5-gen-84;16.00;-27
5-gen-84;17.00;-41
5-gen-84;18.00;-47
5-gen-84;19.00;-42
5-gen-84;20.00;-26
5-gen-84;21.00;-6
5-gen-84;22.00;15
5-gen-84;23.00;32
6-gen-84;0.00;44
6-gen-84;1.00;49
6-gen-84;2.00;45
6-gen-84;3.00;32
6-gen-84;4.00;20
6-gen-84;5.00;8
6-gen-84;6.00;2
6-gen-84;7.00;2
6-gen-84;8.00;8
6-gen-84;9.00;19
6-gen-84;10.00;29
6-gen-84;11.00;38
6-gen-84;12.00;40
6-gen-84;13.00;32
6-gen-84;14.00;15
6-gen-84;15.00;-4
6-gen-84;16.00;-24
6-gen-84;17.00;-42
6-gen-84;18.00;-50
6-gen-84;19.00;-47
6-gen-84;20.00;-34
6-gen-84;21.00;-17
6-gen-84;22.00;2
6-gen-84;23.00;17
7-gen-84;0.00;26
7-gen-84;1.00;30
7-gen-84;2.00;30
7-gen-84;3.00;24
7-gen-84;4.00;14
7-gen-84;5.00;4
7-gen-84;6.00;-1
7-gen-84;7.00;-2
7-gen-84;8.00;4
7-gen-84;9.00;15
7-gen-84;10.00;27
7-gen-84;11.00;37
7-gen-84;12.00;41
7-gen-84;13.00;36
7-gen-84;14.00;25
7-gen-84;15.00;9
7-gen-84;16.00;-9
7-gen-84;17.00;-24
7-gen-84;18.00;-33
7-gen-84;19.00;-34
7-gen-84;20.00;-26
7-gen-84;21.00;-12
7-gen-84;22.00;5
7-gen-84;23.00;20
8-gen-84;0.00;32
8-gen-84;1.00;42
8-gen-84;2.00;47
8-gen-84;3.00;46
8-gen-84;4.00;42
8-gen-84;5.00;34
8-gen-84;6.00;26
8-gen-84;7.00;21
8-gen-84;8.00;21
8-gen-84;9.00;26
8-gen-84;10.00;34
8-gen-84;11.00;41
8-gen-84;12.00;47
8-gen-84;13.00;46
8-gen-84;14.00;38
8-gen-84;15.00;27
8-gen-84;16.00;11
8-gen-84;17.00;-3
8-gen-84;18.00;-14
8-gen-84;19.00;-19
8-gen-84;20.00;-17
8-gen-84;21.00;-8
8-gen-84;22.00;7
8-gen-84;23.00;22
9-gen-84;0.00;36
9-gen-84;1.00;48
9-gen-84;2.00;57
9-gen-84;3.00;58
9-gen-84;4.00;53
9-gen-84;5.00;43
9-gen-84;6.00;33
9-gen-84;7.00;23
9-gen-84;8.00;17
9-gen-84;9.00;18
9-gen-84;10.00;23
9-gen-84;11.00;30
9-gen-84;12.00;37
9-gen-84;13.00;36
9-gen-84;14.00;31
9-gen-84;15.00;22
9-gen-84;16.00;12
9-gen-84;17.00;0
9-gen-84;18.00;-10
9-gen-84;19.00;-15
9-gen-84;20.00;-13
9-gen-84;21.00;-6
9-gen-84;22.00;6
9-gen-84;23.00;18
10-gen-84;0.00;30
10-gen-84;1.00;40
10-gen-84;2.00;45
10-gen-84;3.00;47
10-gen-84;4.00;45
10-gen-84;5.00;40
10-gen-84;6.00;31
10-gen-84;7.00;22
10-gen-84;8.00;13
10-gen-84;9.00;6
10-gen-84;10.00;3
10-gen-84;11.00;4
10-gen-84;12.00;9
10-gen-84;13.00;14
10-gen-84;14.00;18
10-gen-84;15.00;19
10-gen-84;16.00;17
10-gen-84;17.00;12
10-gen-84;18.00;5
10-gen-84;19.00;-1
10-gen-84;20.00;-4
10-gen-84;21.00;-4
10-gen-84;22.00;2
10-gen-84;23.00;10
11-gen-84;0.00;20
11-gen-84;1.00;27
11-gen-84;2.00;36
11-gen-84;3.00;42
11-gen-84;4.00;43
11-gen-84;5.00;41
11-gen-84;6.00;37
11-gen-84;7.00;27
11-gen-84;8.00;16
11-gen-84;9.00;6
11-gen-84;10.00;-1
11-gen-84;11.00;-3
11-gen-84;12.00;0
11-gen-84;13.00;8
11-gen-84;14.00;15
11-gen-84;15.00;18
11-gen-84;16.00;16
11-gen-84;17.00;12
11-gen-84;18.00;6
11-gen-84;19.00;-2
11-gen-84;20.00;-8
11-gen-84;21.00;-9
11-gen-84;22.00;-7
11-gen-84;23.00;-4
12-gen-84;0.00;1
12-gen-84;1.00;9
12-gen-84;2.00;17
12-gen-84;3.00;24
12-gen-84;4.00;30
12-gen-84;5.00;32
12-gen-84;6.00;31
12-gen-84;7.00;27
12-gen-84;8.00;21
12-gen-84;9.00;15
12-gen-84;10.00;8
12-gen-84;11.00;2
12-gen-84;12.00;0
12-gen-84;13.00;0
12-gen-84;14.00;3
12-gen-84;15.00;7
12-gen-84;16.00;10
12-gen-84;17.00;13
12-gen-84;18.00;15
12-gen-84;19.00;15
12-gen-84;20.00;12
12-gen-84;21.00;6
12-gen-84;22.00;2
12-gen-84;23.00;1
13-gen-84;0.00;1
13-gen-84;1.00;6
13-gen-84;2.00;14
13-gen-84;3.00;22
13-gen-84;4.00;29
13-gen-84;5.00;33
13-gen-84;6.00;35
13-gen-84;7.00;32
13-gen-84;8.00;26
13-gen-84;9.00;16
13-gen-84;10.00;4
13-gen-84;11.00;-9
13-gen-84;12.00;-19
13-gen-84;13.00;-28
13-gen-84;14.00;-33
13-gen-84;15.00;-31
13-gen-84;16.00;-21
13-gen-84;17.00;-7
13-gen-84;18.00;5
13-gen-84;19.00;15
13-gen-84;20.00;23
13-gen-84;21.00;24
13-gen-84;22.00;23
13-gen-84;23.00;18
14-gen-84;0.00;15
14-gen-84;1.00;14
14-gen-84;2.00;21
14-gen-84;3.00;33
14-gen-84;4.00;45
14-gen-84;5.00;52
14-gen-84;6.00;57
14-gen-84;7.00;57
14-gen-84;8.00;51
14-gen-84;9.00;38
14-gen-84;10.00;24
14-gen-84;11.00;8
14-gen-84;12.00;-7
14-gen-84;13.00;-18
14-gen-84;14.00;-24
14-gen-84;15.00;-21
14-gen-84;16.00;-12
14-gen-84;17.00;2
14-gen-84;18.00;21
14-gen-84;19.00;35
14-gen-84;20.00;42
14-gen-84;21.00;47
14-gen-84;22.00;48
14-gen-84;23.00;42
15-gen-84;0.00;38
15-gen-84;1.00;35
15-gen-84;2.00;35
15-gen-84;3.00;39
15-gen-84;4.00;48
15-gen-84;5.00;58
15-gen-84;6.00;66
15-gen-84;7.00;69
15-gen-84;8.00;69
15-gen-84;9.00;63
15-gen-84;10.00;49
15-gen-84;11.00;31
15-gen-84;12.00;15
15-gen-84;13.00;-4
15-gen-84;14.00;-19
15-gen-84;15.00;-26
15-gen-84;16.00;-24
15-gen-84;17.00;-12
15-gen-84;18.00;3
15-gen-84;19.00;19
15-gen-84;20.00;33
15-gen-84;21.00;42
15-gen-84;22.00;46
15-gen-84;23.00;41
16-gen-84;0.00;31
16-gen-84;1.00;18
16-gen-84;2.00;10
16-gen-84;3.00;8
16-gen-84;4.00;14
16-gen-84;5.00;26
16-gen-84;6.00;42
16-gen-84;7.00;55
16-gen-84;8.00;60
16-gen-84;9.00;57
16-gen-84;10.00;46
16-gen-84;11.00;28
16-gen-84;12.00;8
16-gen-84;13.00;-13
16-gen-84;14.00;-33
16-gen-84;15.00;-48
16-gen-84;16.00;-55
16-gen-84;17.00;-48
16-gen-84;18.00;-29
16-gen-84;19.00;-7
16-gen-84;20.00;14
16-gen-84;21.00;28
16-gen-84;22.00;38
16-gen-84;23.00;38
17-gen-84;0.00;31
17-gen-84;1.00;21
17-gen-84;2.00;15
17-gen-84;3.00;12
17-gen-84;4.00;17
17-gen-84;5.00;28
17-gen-84;6.00;42
17-gen-84;7.00;56
17-gen-84;8.00;66
17-gen-84;9.00;70
17-gen-84;10.00;67
17-gen-84;11.00;53
17-gen-84;12.00;34
17-gen-84;13.00;9
17-gen-84;14.00;-15
17-gen-84;15.00;-37
17-gen-84;16.00;-52
17-gen-84;17.00;-54
17-gen-84;18.00;-39
17-gen-84;19.00;-18
17-gen-84;20.00;6
17-gen-84;21.00;27
17-gen-84;22.00;44
17-gen-84;23.00;53
18-gen-84;0.00;56
18-gen-84;1.00;50
18-gen-84;2.00;39
18-gen-84;3.00;26
18-gen-84;4.00;18
18-gen-84;5.00;17
18-gen-84;6.00;23
18-gen-84;7.00;38
18-gen-84;8.00;53
18-gen-84;9.00;62
18-gen-84;10.00;63
18-gen-84;11.00;53
18-gen-84;12.00;35
18-gen-84;13.00;11
18-gen-84;14.00;-17
18-gen-84;15.00;-43
18-gen-84;16.00;-63
18-gen-84;17.00;-68
18-gen-84;18.00;-57
18-gen-84;19.00;-36
18-gen-84;20.00;-13
18-gen-84;21.00;13
18-gen-84;22.00;34
18-gen-84;23.00;49
19-gen-84;0.00;55
19-gen-84;1.00;51
19-gen-84;2.00;36
19-gen-84;3.00;21
19-gen-84;4.00;8
19-gen-84;5.00;3
19-gen-84;6.00;6
19-gen-84;7.00;18
19-gen-84;8.00;34
19-gen-84;9.00;47
19-gen-84;10.00;54
19-gen-84;11.00;53
19-gen-84;12.00;43
19-gen-84;13.00;25
19-gen-84;14.00;3
19-gen-84;15.00;-19
19-gen-84;16.00;-40
19-gen-84;17.00;-53
19-gen-84;18.00;-53
19-gen-84;19.00;-36
19-gen-84;20.00;-15
19-gen-84;21.00;11
19-gen-84;22.00;35
19-gen-84;23.00;53
20-gen-84;0.00;61
20-gen-84;1.00;60
20-gen-84;2.00;50
20-gen-84;3.00;30
20-gen-84;4.00;18
20-gen-84;5.00;7
20-gen-84;6.00;4
20-gen-84;7.00;10
20-gen-84;8.00;24
20-gen-84;9.00;38
20-gen-84;10.00;52
20-gen-84;11.00;56
20-gen-84;12.00;53
20-gen-84;13.00;40
20-gen-84;14.00;20
20-gen-84;15.00;-2
20-gen-84;16.00;-21
20-gen-84;17.00;-39
20-gen-84;18.00;-47
20-gen-84;19.00;-45
20-gen-84;20.00;-33
20-gen-84;21.00;-15
20-gen-84;22.00;5
20-gen-84;23.00;23
21-gen-84;0.00;37
21-gen-84;1.00;43
21-gen-84;2.00;44
21-gen-84;3.00;38
21-gen-84;4.00;28
21-gen-84;5.00;17
21-gen-84;6.00;10
21-gen-84;7.00;10
21-gen-84;8.00;17
21-gen-84;9.00;28
21-gen-84;10.00;41
21-gen-84;11.00;49
21-gen-84;12.00;52
21-gen-84;13.00;47
21-gen-84;14.00;35
21-gen-84;15.00;16
21-gen-84;16.00;-7
21-gen-84;17.00;-24
21-gen-84;18.00;-39
21-gen-84;19.00;-46
21-gen-84;20.00;-39
21-gen-84;21.00;-21
21-gen-84;22.00;0
21-gen-84;23.00;23
22-gen-84;0.00;43
22-gen-84;1.00;59
22-gen-84;2.00;68
22-gen-84;3.00;65
22-gen-84;4.00;52
22-gen-84;5.00;36
22-gen-84;6.00;21
22-gen-84;7.00;12
22-gen-84;8.00;9
22-gen-84;9.00;12
22-gen-84;10.00;25
22-gen-84;11.00;38
22-gen-84;12.00;45
22-gen-84;13.00;45
22-gen-84;14.00;36
22-gen-84;15.00;22
22-gen-84;16.00;4
22-gen-84;17.00;-13
22-gen-84;18.00;-27
22-gen-84;19.00;-36
22-gen-84;20.00;-34
22-gen-84;21.00;-20
22-gen-84;22.00;1
22-gen-84;23.00;24
23-gen-84;0.00;44
23-gen-84;1.00;62
23-gen-84;2.00;71
23-gen-84;3.00;70
23-gen-84;4.00;61
23-gen-84;5.00;48
23-gen-84;6.00;31
23-gen-84;7.00;17
23-gen-84;8.00;5
23-gen-84;9.00;0
23-gen-84;10.00;4
23-gen-84;11.00;13
23-gen-84;12.00;21
23-gen-84;13.00;24
23-gen-84;14.00;21
23-gen-84;15.00;14
23-gen-84;16.00;0
23-gen-84;17.00;-14
23-gen-84;18.00;-21
23-gen-84;19.00;-24
23-gen-84;20.00;-18
23-gen-84;21.00;-4
23-gen-84;22.00;18
23-gen-84;23.00;38
24-gen-84;0.00;57
24-gen-84;1.00;74
24-gen-84;2.00;89
24-gen-84;3.00;98
24-gen-84;4.00;98
24-gen-84;5.00;92
24-gen-84;6.00;82
24-gen-84;7.00;62
24-gen-84;8.00;44
24-gen-84;9.00;27
24-gen-84;10.00;16
24-gen-84;11.00;15
24-gen-84;12.00;14
24-gen-84;13.00;18
24-gen-84;14.00;22
24-gen-84;15.00;18
24-gen-84;16.00;6
24-gen-84;17.00;-3
24-gen-84;18.00;-9
24-gen-84;19.00;-12
24-gen-84;20.00;-11
24-gen-84;21.00;-7
24-gen-84;22.00;-10
24-gen-84;23.00;-10
25-gen-84;0.00;6
25-gen-84;1.00;32
25-gen-84;2.00;52
25-gen-84;3.00;67
25-gen-84;4.00;73
25-gen-84;5.00;65
25-gen-84;6.00;50
25-gen-84;7.00;38
25-gen-84;8.00;31
25-gen-84;9.00;26
25-gen-84;10.00;22
25-gen-84;11.00;22
25-gen-84;12.00;22
25-gen-84;13.00;20
25-gen-84;14.00;13
25-gen-84;15.00;9
25-gen-84;16.00;6
25-gen-84;17.00;2
25-gen-84;18.00;-1
25-gen-84;19.00;-3
25-gen-84;20.00;-8
25-gen-84;21.00;-10
25-gen-84;22.00;-2
25-gen-84;23.00;14
26-gen-84;0.00;29
26-gen-84;1.00;43
26-gen-84;2.00;55
26-gen-84;3.00;62
26-gen-84;4.00;64
26-gen-84;5.00;63
26-gen-84;6.00;59
26-gen-84;7.00;52
26-gen-84;8.00;42
26-gen-84;9.00;31
26-gen-84;10.00;19
26-gen-84;11.00;7
26-gen-84;12.00;-5
26-gen-84;13.00;-17
26-gen-84;14.00;-23
26-gen-84;15.00;-24
26-gen-84;16.00;-22
26-gen-84;17.00;-19
26-gen-84;18.00;-11
26-gen-84;19.00;1
26-gen-84;20.00;13
26-gen-84;21.00;24
26-gen-84;22.00;30
26-gen-84;23.00;34
27-gen-84;0.00;36
27-gen-84;1.00;36
27-gen-84;2.00;39
27-gen-84;3.00;45
27-gen-84;4.00;53
27-gen-84;5.00;59
27-gen-84;6.00;63
27-gen-84;7.00;58
27-gen-84;8.00;48
27-gen-84;9.00;34
27-gen-84;10.00;17
27-gen-84;11.00;1
27-gen-84;12.00;-14
27-gen-84;13.00;-25
27-gen-84;14.00;-31
27-gen-84;15.00;-29
27-gen-84;16.00;-19
27-gen-84;17.00;-5
27-gen-84;18.00;12
27-gen-84;19.00;27
27-gen-84;20.00;38
27-gen-84;21.00;47
27-gen-84;22.00;50
27-gen-84;23.00;48
28-gen-84;0.00;46
28-gen-84;1.00;45
28-gen-84;2.00;44
28-gen-84;3.00;47
28-gen-84;4.00;50
28-gen-84;5.00;54
28-gen-84;6.00;56
28-gen-84;7.00;56
28-gen-84;8.00;52
28-gen-84;9.00;40
28-gen-84;10.00;25
28-gen-84;11.00;9
28-gen-84;12.00;-5
28-gen-84;13.00;-18
28-gen-84;14.00;-25
28-gen-84;15.00;-24
28-gen-84;16.00;-15
28-gen-84;17.00;-2
28-gen-84;18.00;15
28-gen-84;19.00;30
28-gen-84;20.00;41
28-gen-84;21.00;50
28-gen-84;22.00;53
28-gen-84;23.00;50
29-gen-84;0.00;40
29-gen-84;1.00;31
29-gen-84;2.00;24
29-gen-84;3.00;20
29-gen-84;4.00;20
29-gen-84;5.00;26
29-gen-84;6.00;32
29-gen-84;7.00;37
29-gen-84;8.00;37
29-gen-84;9.00;31
29-gen-84;10.00;19
29-gen-84;11.00;6
29-gen-84;12.00;-8
29-gen-84;13.00;-20
29-gen-84;14.00;-28
29-gen-84;15.00;-31
29-gen-84;16.00;-28
29-gen-84;17.00;-18
29-gen-84;18.00;-2
29-gen-84;19.00;14
29-gen-84;20.00;29
29-gen-84;21.00;40
29-gen-84;22.00;43
29-gen-84;23.00;38
