Data;Ora solare;Livello Punta Salute (cm)
1-gen-87;1.00;55
1-gen-87;2.00;44
1-gen-87;3.00;31
1-gen-87;4.00;17
1-gen-87;5.00;10
1-gen-87;6.00;10
1-gen-87;7.00;20
1-gen-87;8.00;33
1-gen-87;9.00;48
1-gen-87;10.00;61
1-gen-87;11.00;65
1-gen-87;12.00;55
1-gen-87;13.00;39
1-gen-87;14.00;17
1-gen-87;15.00;-6
1-gen-87;16.00;-26
1-gen-87;17.00;-40
1-gen-87;18.00;-45
1-gen-87;19.00;-37
1-gen-87;20.00;-21
1-gen-87;21.00;-1
1-gen-87;22.00;22
1-gen-87;23.00;37
2-gen-87;0.00;49
2-gen-87;1.00;54
2-gen-87;2.00;49
2-gen-87;3.00;40
2-gen-87;4.00;28
2-gen-87;5.00;19
2-gen-87;6.00;14
2-gen-87;7.00;17
2-gen-87;8.00;30
2-gen-87;9.00;45
2-gen-87;10.00;60
2-gen-87;11.00;71
2-gen-87;12.00;71
2-gen-87;13.00;60
2-gen-87;14.00;43
2-gen-87;15.00;22
2-gen-87;16.00;-1
2-gen-87;17.00;-19
2-gen-87;18.00;-33
2-gen-87;19.00;-36
2-gen-87;20.00;-25
2-gen-87;21.00;-9
2-gen-87;22.00;11
2-gen-87;23.00;25
3-gen-87;0.00;36
3-gen-87;1.00;41
3-gen-87;2.00;41
3-gen-87;3.00;36
3-gen-87;4.00;25
3-gen-87;5.00;16
3-gen-87;6.00;8
3-gen-87;7.00;8
3-gen-87;8.00;15
3-gen-87;9.00;27
3-gen-87;10.00;41
3-gen-87;11.00;55
3-gen-87;12.00;63
3-gen-87;13.00;63
3-gen-87;14.00;48
3-gen-87;15.00;29
3-gen-87;16.00;6
3-gen-87;17.00;-16
3-gen-87;18.00;-33
3-gen-87;19.00;-40
3-gen-87;20.00;-41
3-gen-87;21.00;-29
3-gen-87;22.00;-13
3-gen-87;23.00;6
4-gen-87;0.00;21
4-gen-87;1.00;33
4-gen-87;2.00;39
4-gen-87;3.00;41
4-gen-87;4.00;36
4-gen-87;5.00;27
4-gen-87;6.00;17
4-gen-87;7.00;11
4-gen-87;8.00;12
4-gen-87;9.00;17
4-gen-87;10.00;24
4-gen-87;11.00;33
4-gen-87;12.00;39
4-gen-87;13.00;39
4-gen-87;14.00;30
4-gen-87;15.00;12
4-gen-87;16.00;-8
4-gen-87;17.00;-28
4-gen-87;18.00;-45
4-gen-87;19.00;-56
4-gen-87;20.00;-56
4-gen-87;21.00;-44
4-gen-87;22.00;-28
4-gen-87;23.00;-10
5-gen-87;0.00;8
5-gen-87;1.00;23
5-gen-87;2.00;36
5-gen-87;3.00;44
5-gen-87;4.00;47
5-gen-87;5.00;44
5-gen-87;6.00;35
5-gen-87;7.00;25
5-gen-87;8.00;16
5-gen-87;9.00;11
5-gen-87;10.00;11
5-gen-87;11.00;16
5-gen-87;12.00;23
5-gen-87;13.00;27
5-gen-87;14.00;23
5-gen-87;15.00;15
5-gen-87;16.00;0
5-gen-87;17.00;-12
5-gen-87;18.00;-24
5-gen-87;19.00;-29
5-gen-87;20.00;-30
5-gen-87;21.00;-23
5-gen-87;22.00;-9
5-gen-87;23.00;8
6-gen-87;0.00;23
6-gen-87;1.00;38
6-gen-87;2.00;50
6-gen-87;3.00;60
6-gen-87;4.00;63
6-gen-87;5.00;63
6-gen-87;6.00;57
6-gen-87;7.00;44
6-gen-87;8.00;34
6-gen-87;9.00;25
6-gen-87;10.00;20
6-gen-87;11.00;18
6-gen-87;12.00;20
6-gen-87;13.00;23
6-gen-87;14.00;23
6-gen-87;15.00;23
6-gen-87;16.00;17
6-gen-87;17.00;8
6-gen-87;18.00;0
6-gen-87;19.00;-7
6-gen-87;20.00;-12
