Data;Ora solare;Livello Punta Salute (cm)
1-gen-92;1.00;1
1-gen-92;2.00;1
1-gen-92;3.00;7
1-gen-92;4.00;17
1-gen-92;5.00;28
1-gen-92;6.00;38
1-gen-92;7.00;41
1-gen-92;8.00;38
1-gen-92;9.00;27
1-gen-92;10.00;15
1-gen-92;11.00;-2
1-gen-92;12.00;-17
1-gen-92;13.00;-33
1-gen-92;14.00;-45
1-gen-92;15.00;-52
1-gen-92;16.00;-47
1-gen-92;17.00;-34
1-gen-92;18.00;-18
1-gen-92;19.00;-2
1-gen-92;20.00;11
1-gen-92;21.00;20
1-gen-92;22.00;22
1-gen-92;23.00;19
2-gen-92;0.00;11
2-gen-92;1.00;4
2-gen-92;2.00;-1
2-gen-92;3.00;-1
2-gen-92;4.00;4
2-gen-92;5.00;15
2-gen-92;6.00;27
2-gen-92;7.00;36
2-gen-92;8.00;40
2-gen-92;9.00;39
2-gen-92;10.00;27
2-gen-92;11.00;10
2-gen-92;12.00;-10
2-gen-92;13.00;-26
2-gen-92;14.00;-42
2-gen-92;15.00;-55
2-gen-92;16.00;-56
2-gen-92;17.00;-44
2-gen-92;18.00;-31
2-gen-92;19.00;-13
2-gen-92;20.00;2
2-gen-92;21.00;15
2-gen-92;22.00;22
2-gen-92;23.00;23
3-gen-92;0.00;19
3-gen-92;1.00;8
3-gen-92;2.00;-1
3-gen-92;3.00;-7
3-gen-92;4.00;-6
3-gen-92;5.00;-1
3-gen-92;6.00;11
3-gen-92;7.00;23
3-gen-92;8.00;31
3-gen-92;9.00;33
3-gen-92;10.00;28
3-gen-92;11.00;16
3-gen-92;12.00;-1
3-gen-92;13.00;-21
3-gen-92;14.00;-40
3-gen-92;15.00;-56
3-gen-92;16.00;-65
3-gen-92;17.00;-60
3-gen-92;18.00;-44
3-gen-92;19.00;-27
3-gen-92;20.00;-8
3-gen-92;21.00;11
3-gen-92;22.00;23
3-gen-92;23.00;27
4-gen-92;0.00;26
4-gen-92;1.00;17
4-gen-92;2.00;6
4-gen-92;3.00;-5
4-gen-92;4.00;-10
4-gen-92;5.00;-8
4-gen-92;6.00;3
4-gen-92;7.00;16
4-gen-92;8.00;31
4-gen-92;9.00;39
4-gen-92;10.00;40
4-gen-92;11.00;31
4-gen-92;12.00;16
4-gen-92;13.00;-5
4-gen-92;14.00;-26
4-gen-92;15.00;-47
4-gen-92;16.00;-60
4-gen-92;17.00;-61
4-gen-92;18.00;-49
4-gen-92;19.00;-32
4-gen-92;20.00;-10
4-gen-92;21.00;8
4-gen-92;22.00;23
4-gen-92;23.00;31
5-gen-92;0.00;31
5-gen-92;1.00;23
5-gen-92;2.00;9
5-gen-92;3.00;-4
5-gen-92;4.00;-10
5-gen-92;5.00;-13
5-gen-92;6.00;-8
5-gen-92;7.00;6
5-gen-92;8.00;20
5-gen-92;9.00;31
5-gen-92;10.00;38
5-gen-92;11.00;35
5-gen-92;12.00;22
5-gen-92;13.00;3
5-gen-92;14.00;-21
5-gen-92;15.00;-44
5-gen-92;16.00;-63
5-gen-92;17.00;-69
5-gen-92;18.00;-60
5-gen-92;19.00;-41
5-gen-92;20.00;-22
5-gen-92;21.00;-2
5-gen-92;22.00;13
5-gen-92;23.00;23
6-gen-92;0.00;23
6-gen-92;1.00;19
6-gen-92;2.00;8
6-gen-92;3.00;-5
6-gen-92;4.00;-16
6-gen-92;5.00;-20
6-gen-92;6.00;-17
6-gen-92;7.00;-8
6-gen-92;8.00;7
6-gen-92;9.00;20
6-gen-92;10.00;28
6-gen-92;11.00;30
6-gen-92;12.00;22
6-gen-92;13.00;5
6-gen-92;14.00;-16
6-gen-92;15.00;-40
6-gen-92;16.00;-60
6-gen-92;17.00;-72
6-gen-92;18.00;-73
6-gen-92;19.00;-56
6-gen-92;20.00;-37
6-gen-92;21.00;-18
6-gen-92;22.00;-1
6-gen-92;23.00;14
7-gen-92;0.00;20
7-gen-92;1.00;19
7-gen-92;2.00;11
7-gen-92;3.00;-2
7-gen-92;4.00;-16
7-gen-92;5.00;-24
7-gen-92;6.00;-25
7-gen-92;7.00;-18
7-gen-92;8.00;-4
7-gen-92;9.00;11
7-gen-92;10.00;23
7-gen-92;11.00;30
7-gen-92;12.00;27
7-gen-92;13.00;12
7-gen-92;14.00;-7
7-gen-92;15.00;-28
7-gen-92;16.00;-48
7-gen-92;17.00;-61
7-gen-92;18.00;-65
7-gen-92;19.00;-53
7-gen-92;20.00;-36
7-gen-92;21.00;-16
7-gen-92;22.00;0
7-gen-92;23.00;15
8-gen-92;0.00;23
8-gen-92;1.00;27
8-gen-92;2.00;23
8-gen-92;3.00;12
8-gen-92;4.00;0
8-gen-92;5.00;-9
8-gen-92;6.00;-15
8-gen-92;7.00;-12
8-gen-92;8.00;-5
8-gen-92;9.00;8
8-gen-92;10.00;20
8-gen-92;11.00;28
8-gen-92;12.00;30
8-gen-92;13.00;19
8-gen-92;14.00;3
8-gen-92;15.00;-16
8-gen-92;16.00;-33
8-gen-92;17.00;-49
8-gen-92;18.00;-56
8-gen-92;19.00;-53
8-gen-92;20.00;-37
8-gen-92;21.00;-20
8-gen-92;22.00;-1
8-gen-92;23.00;15
9-gen-92;0.00;26
9-gen-92;1.00;31
9-gen-92;2.00;30
9-gen-92;3.00;20
9-gen-92;4.00;8
9-gen-92;5.00;-2
9-gen-92;6.00;-12
9-gen-92;7.00;-13
9-gen-92;8.00;-8
9-gen-92;9.00;3
9-gen-92;10.00;12
9-gen-92;11.00;23
9-gen-92;12.00;27
9-gen-92;13.00;27
9-gen-92;14.00;16
9-gen-92;15.00;-1
9-gen-92;16.00;-20
9-gen-92;17.00;-34
9-gen-92;18.00;-44
9-gen-92;19.00;-42
9-gen-92;20.00;-33
9-gen-92;21.00;-16
9-gen-92;22.00;1
9-gen-92;23.00;19
10-gen-92;0.00;31
10-gen-92;1.00;41
10-gen-92;2.00;47
10-gen-92;3.00;44
10-gen-92;4.00;35
10-gen-92;5.00;24
10-gen-92;6.00;11
10-gen-92;7.00;3
10-gen-92;8.00;0
10-gen-92;9.00;8
10-gen-92;10.00;20
10-gen-92;11.00;31
10-gen-92;12.00;43
10-gen-92;13.00;43
10-gen-92;14.00;32
10-gen-92;15.00;19
10-gen-92;16.00;3
10-gen-92;17.00;-16
