Data;Ora solare;Livello Punta Salute (cm);
9-gen-88;4.00;27;
9-gen-88;5.00;16;
9-gen-88;6.00;8;
9-gen-88;7.00;6;
9-gen-88;8.00;7;
9-gen-88;9.00;12;
9-gen-88;10.00;21;
9-gen-88;11.00;30;
9-gen-88;12.00;36;
9-gen-88;13.00;36;
9-gen-88;14.00;31;
9-gen-88;15.00;18;
9-gen-88;16.00;4;
9-gen-88;17.00;-12;
9-gen-88;18.00;-25;
9-gen-88;19.00;-33;
9-gen-88;20.00;-34;
9-gen-88;21.00;-28;
9-gen-88;22.00;-15;
9-gen-88;23.00;0;
10-gen-88;0.00;16;
10-gen-88;1.00;27;
10-gen-88;2.00;32;
10-gen-88;3.00;34;
10-gen-88;4.00;31;
10-gen-88;5.00;20;
10-gen-88;6.00;11;
10-gen-88;7.00;3;
10-gen-88;8.00;-2;
10-gen-88;9.00;-4;
10-gen-88;10.00;4;
10-gen-88;11.00;12;
10-gen-88;12.00;20;
10-gen-88;13.00;23;
10-gen-88;14.00;17;
10-gen-88;15.00;8;
10-gen-88;16.00;-5;
10-gen-88;17.00;-16;
10-gen-88;18.00;-25;
10-gen-88;19.00;-32;
10-gen-88;20.00;-33;
10-gen-88;21.00;-28;
10-gen-88;22.00;-18;
10-gen-88;23.00;-5;
11-gen-88;0.00;11;
11-gen-88;1.00;23;
11-gen-88;2.00;32;
11-gen-88;3.00;39;
11-gen-88;4.00;40;
11-gen-88;5.00;36;
11-gen-88;6.00;27;
11-gen-88;7.00;17;
11-gen-88;8.00;8;
11-gen-88;9.00;4;
11-gen-88;10.00;6;
11-gen-88;11.00;9;
11-gen-88;12.00;15;
11-gen-88;13.00;16;
11-gen-88;14.00;15;
11-gen-88;15.00;9;
11-gen-88;16.00;3;
11-gen-88;17.00;-5;
11-gen-88;18.00;-9;
11-gen-88;19.00;-12;
11-gen-88;20.00;-12;
11-gen-88;21.00;-8;
11-gen-88;22.00;-2;
11-gen-88;23.00;6;
12-gen-88;0.00;16;
12-gen-88;1.00;28;
12-gen-88;2.00;39;
12-gen-88;3.00;46;
12-gen-88;4.00;48;
12-gen-88;5.00;43;
12-gen-88;6.00;33;
12-gen-88;7.00;22;
12-gen-88;8.00;11;
12-gen-88;9.00;3;
12-gen-88;10.00;-4;
12-gen-88;11.00;-5;
12-gen-88;12.00;-5;
12-gen-88;13.00;-4;
12-gen-88;14.00;0;
12-gen-88;15.00;4;
12-gen-88;16.00;8;
12-gen-88;17.00;9;
12-gen-88;18.00;9;
12-gen-88;19.00;8;
12-gen-88;20.00;8;
12-gen-88;21.00;6;
12-gen-88;22.00;8;
12-gen-88;23.00;14;
13-gen-88;0.00;20;
13-gen-88;1.00;30;
13-gen-88;2.00;38;
13-gen-88;3.00;44;
13-gen-88;4.00;48;
13-gen-88;5.00;48;
13-gen-88;6.00;43;
13-gen-88;7.00;33;
13-gen-88;8.00;20;
13-gen-88;9.00;8;
13-gen-88;10.00;0;
13-gen-88;11.00;-6;
13-gen-88;12.00;-8;
13-gen-88;13.00;-7;
13-gen-88;14.00;-5;
13-gen-88;15.00;0;
13-gen-88;16.00;7;
13-gen-88;17.00;12;
13-gen-88;18.00;16;
13-gen-88;19.00;19;
13-gen-88;20.00;20;
13-gen-88;21.00;19;
13-gen-88;22.00;16;
13-gen-88;23.00;16;
14-gen-88;0.00;16;
14-gen-88;1.00;23;
14-gen-88;2.00;30;
14-gen-88;3.00;38;
14-gen-88;4.00;44;
14-gen-88;5.00;48;
14-gen-88;6.00;48;
14-gen-88;7.00;43;
14-gen-88;8.00;36;
14-gen-88;9.00;24;
14-gen-88;10.00;11;
14-gen-88;11.00;1;
14-gen-88;12.00;-8;
14-gen-88;13.00;-12;
14-gen-88;14.00;-13;
14-gen-88;15.00;-9;
14-gen-88;16.00;-2;
14-gen-88;17.00;6;
14-gen-88;18.00;11;
14-gen-88;19.00;18;
14-gen-88;20.00;23;
14-gen-88;21.00;27;
14-gen-88;22.00;24;
14-gen-88;23.00;22;
15-gen-88;0.00;20;
15-gen-88;1.00;21;
15-gen-88;2.00;23;
15-gen-88;3.00;31;
15-gen-88;4.00;39;
15-gen-88;5.00;47;
15-gen-88;6.00;54;
15-gen-88;7.00;57;
15-gen-88;8.00;55;
15-gen-88;9.00;49;
15-gen-88;10.00;39;
15-gen-88;11.00;25;
15-gen-88;12.00;12;
15-gen-88;13.00;-1;
15-gen-88;14.00;-10;
15-gen-88;15.00;-12;
15-gen-88;16.00;-10;
15-gen-88;17.00;-1;
15-gen-88;18.00;12;
15-gen-88;19.00;25;
15-gen-88;20.00;33;
15-gen-88;21.00;38;
15-gen-88;22.00;38;
15-gen-88;23.00;31;
16-gen-88;0.00;23;
16-gen-88;1.00;15;
16-gen-88;2.00;11;
16-gen-88;3.00;13;
16-gen-88;4.00;22;
16-gen-88;5.00;33;
16-gen-88;6.00;44;
16-gen-88;7.00;54;
16-gen-88;8.00;55;
16-gen-88;9.00;52;
16-gen-88;10.00;39;
16-gen-88;11.00;22;
16-gen-88;12.00;3;
16-gen-88;13.00;-13;
16-gen-88;14.00;-28;
16-gen-88;15.00;-37;
16-gen-88;16.00;-39;
16-gen-88;17.00;-29;
16-gen-88;18.00;-16;
16-gen-88;19.00;0;
16-gen-88;20.00;16;
16-gen-88;21.00;28;
16-gen-88;22.00;35;
16-gen-88;23.00;35;
17-gen-88;0.00;28;
17-gen-88;1.00;19;
17-gen-88;2.00;9;
17-gen-88;3.00;4;
17-gen-88;4.00;8;
17-gen-88;5.00;20;
17-gen-88;6.00;35;
17-gen-88;7.00;47;
17-gen-88;8.00;55;
17-gen-88;9.00;57;
17-gen-88;10.00;49;
17-gen-88;11.00;36;
17-gen-88;12.00;16;
17-gen-88;13.00;-7;
17-gen-88;14.00;-28;
17-gen-88;15.00;-44;
17-gen-88;16.00;-53;
17-gen-88;17.00;-48;
17-gen-88;18.00;-33;
17-gen-88;19.00;-12;
17-gen-88;20.00;8;
17-gen-88;21.00;27;
17-gen-88;22.00;38;
17-gen-88;23.00;41;
18-gen-88;0.00;38;
18-gen-88;1.00;27;
18-gen-88;2.00;16;
18-gen-88;3.00;6;
18-gen-88;4.00;2;
18-gen-88;5.00;8;
18-gen-88;6.00;22;
18-gen-88;7.00;38;
18-gen-88;8.00;51;
18-gen-88;9.00;59;
18-gen-88;10.00;56;
18-gen-88;11.00;43;
18-gen-88;12.00;24;
18-gen-88;13.00;2;
18-gen-88;14.00;-21;
18-gen-88;15.00;-42;
18-gen-88;16.00;-56;
18-gen-88;17.00;-58;
18-gen-88;18.00;-45;
18-gen-88;19.00;-26;
18-gen-88;20.00;-5;
18-gen-88;21.00;16;
18-gen-88;22.00;31;
18-gen-88;23.00;39;
19-gen-88;0.00;41;
19-gen-88;1.00;36;
19-gen-88;2.00;23;
19-gen-88;3.00;11;
19-gen-88;4.00;4;
19-gen-88;5.00;3;
19-gen-88;6.00;8;
19-gen-88;7.00;22;
19-gen-88;8.00;36;
19-gen-88;9.00;48;
19-gen-88;10.00;59;
19-gen-88;11.00;59;
19-gen-88;12.00;48;
19-gen-88;13.00;29;
19-gen-88;14.00;6;
19-gen-88;15.00;-16;
19-gen-88;16.00;-37;
19-gen-88;17.00;-48;
