Data;Ora solare;Livello Punta Salute (cm);
10-feb-88;20.00;11;
10-feb-88;21.00;20;
10-feb-88;22.00;28;
10-feb-88;23.00;35;
11-feb-88;0.00;40;
11-feb-88;1.00;47;
11-feb-88;2.00;52;
11-feb-88;3.00;54;
11-feb-88;4.00;52;
11-feb-88;5.00;46;
11-feb-88;6.00;39;
11-feb-88;7.00;31;
11-feb-88;8.00;19;
11-feb-88;9.00;8;
11-feb-88;10.00;1;
11-feb-88;11.00;-1;
11-feb-88;12.00;-1;
11-feb-88;13.00;-4;
11-feb-88;14.00;-1;
11-feb-88;15.00;4;
11-feb-88;16.00;8;
11-feb-88;17.00;12;
11-feb-88;18.00;20;
11-feb-88;19.00;23;
11-feb-88;20.00;25;
11-feb-88;21.00;31;
11-feb-88;22.00;36;
11-feb-88;23.00;39;
12-feb-88;0.00;45;
12-feb-88;1.00;51;
12-feb-88;2.00;54;
12-feb-88;3.00;59;
12-feb-88;4.00;63;
12-feb-88;5.00;63;
12-feb-88;6.00;56;
12-feb-88;7.00;48;
12-feb-88;8.00;39;
12-feb-88;9.00;28;
12-feb-88;10.00;23;
12-feb-88;11.00;15;
12-feb-88;12.00;8;
12-feb-88;13.00;11;
12-feb-88;14.00;16;
12-feb-88;15.00;20;
12-feb-88;16.00;23;
12-feb-88;17.00;32;
12-feb-88;18.00;43;
12-feb-88;19.00;48;
12-feb-88;20.00;52;
12-feb-88;21.00;56;
12-feb-88;22.00;57;
12-feb-88;23.00;55;
13-feb-88;0.00;49;
13-feb-88;1.00;43;
13-feb-88;2.00;39;
13-feb-88;3.00;36;
13-feb-88;4.00;32;
13-feb-88;5.00;31;
13-feb-88;6.00;35;
13-feb-88;7.00;35;
13-feb-88;8.00;30;
13-feb-88;9.00;20;
13-feb-88;10.00;8;
13-feb-88;11.00;0;
13-feb-88;12.00;-4;
13-feb-88;13.00;-5;
13-feb-88;14.00;-5;
13-feb-88;15.00;1;
13-feb-88;16.00;8;
13-feb-88;17.00;20;
13-feb-88;18.00;32;
13-feb-88;19.00;43;
13-feb-88;20.00;54;
13-feb-88;21.00;55;
13-feb-88;22.00;49;
13-feb-88;23.00;38;
14-feb-88;0.00;22;
14-feb-88;1.00;8;
14-feb-88;2.00;-1;
14-feb-88;3.00;-2;
14-feb-88;4.00;3;
14-feb-88;5.00;10;
14-feb-88;6.00;19;
14-feb-88;7.00;27;
14-feb-88;8.00;31;
14-feb-88;9.00;31;
14-feb-88;10.00;27;
14-feb-88;11.00;17;
14-feb-88;12.00;6;
14-feb-88;13.00;-7;
14-feb-88;14.00;-16;
14-feb-88;15.00;-23;
14-feb-88;16.00;-21;
14-feb-88;17.00;-12;
14-feb-88;18.00;-1;
14-feb-88;19.00;15;
14-feb-88;20.00;28;
14-feb-88;21.00;33;
14-feb-88;22.00;33;
14-feb-88;23.00;28;
15-feb-88;0.00;19;
15-feb-88;1.00;4;
15-feb-88;2.00;-7;
15-feb-88;3.00;-12;
15-feb-88;4.00;-9;
15-feb-88;5.00;2;
15-feb-88;6.00;19;
15-feb-88;7.00;36;
15-feb-88;8.00;47;
15-feb-88;9.00;54;
15-feb-88;10.00;52;
15-feb-88;11.00;39;
15-feb-88;12.00;20;
15-feb-88;13.00;-1;
15-feb-88;14.00;-21;
15-feb-88;15.00;-37;
15-feb-88;16.00;-46;
15-feb-88;17.00;-45;
15-feb-88;18.00;-33;
15-feb-88;19.00;-15;
15-feb-88;20.00;6;
15-feb-88;21.00;22;
15-feb-88;22.00;31;
15-feb-88;23.00;33;
16-feb-88;0.00;30;
16-feb-88;1.00;21;
16-feb-88;2.00;8;
16-feb-88;3.00;-1;
16-feb-88;4.00;-1;
16-feb-88;5.00;11;
16-feb-88;6.00;25;
16-feb-88;7.00;43;
16-feb-88;8.00;59;
16-feb-88;9.00;68;
16-feb-88;10.00;68;
16-feb-88;11.00;55;
16-feb-88;12.00;36;
16-feb-88;13.00;11;
16-feb-88;14.00;-16;
16-feb-88;15.00;-41;
16-feb-88;16.00;-60;
16-feb-88;17.00;-66;
16-feb-88;18.00;-54;
16-feb-88;19.00;-33;
16-feb-88;20.00;-10;
16-feb-88;21.00;11;
16-feb-88;22.00;30;
16-feb-88;23.00;40;
17-feb-88;0.00;43;
17-feb-88;1.00;39;
17-feb-88;2.00;27;
17-feb-88;3.00;14;
17-feb-88;4.00;4;
17-feb-88;5.00;4;
17-feb-88;6.00;12;
17-feb-88;7.00;28;
17-feb-88;8.00;46;
17-feb-88;9.00;59;
17-feb-88;10.00;67;
17-feb-88;11.00;62;
17-feb-88;12.00;44;
17-feb-88;13.00;20;
17-feb-88;14.00;-7;
17-feb-88;15.00;-36;
17-feb-88;16.00;-58;
17-feb-88;17.00;-66;
17-feb-88;18.00;-56;
17-feb-88;19.00;-32;
17-feb-88;20.00;-6;
17-feb-88;21.00;23;
17-feb-88;22.00;46;
17-feb-88;23.00;63;
18-feb-88;0.00;70;
18-feb-88;1.00;64;
18-feb-88;2.00;49;
18-feb-88;3.00;31;
18-feb-88;4.00;15;
18-feb-88;5.00;1;
18-feb-88;6.00;-1;
18-feb-88;7.00;10;
18-feb-88;8.00;25;
18-feb-88;9.00;40;
18-feb-88;10.00;50;
18-feb-88;11.00;50;
18-feb-88;12.00;38;
18-feb-88;13.00;18;
18-feb-88;14.00;-7;
18-feb-88;15.00;-31;
18-feb-88;16.00;-53;
18-feb-88;17.00;-63;
18-feb-88;18.00;-55;
18-feb-88;19.00;-33;
18-feb-88;20.00;-8;
18-feb-88;21.00;20;
18-feb-88;22.00;46;
18-feb-88;23.00;65;
19-feb-88;0.00;75;
19-feb-88;1.00;72;
19-feb-88;2.00;55;
19-feb-88;3.00;35;
19-feb-88;4.00;16;
19-feb-88;5.00;-3;
19-feb-88;6.00;-12;
19-feb-88;7.00;-13;
19-feb-88;8.00;-2;
19-feb-88;9.00;16;
19-feb-88;10.00;33;
19-feb-88;11.00;43;
19-feb-88;12.00;44;
19-feb-88;13.00;36;
19-feb-88;14.00;17;
19-feb-88;15.00;-4;
19-feb-88;16.00;-24;
19-feb-88;17.00;-37;
19-feb-88;18.00;-38;
19-feb-88;19.00;-23;
19-feb-88;20.00;-1;
19-feb-88;21.00;23;
19-feb-88;22.00;44;
19-feb-88;23.00;62;
20-feb-88;0.00;70;
20-feb-88;1.00;70;
20-feb-88;2.00;59;
20-feb-88;3.00;37;
20-feb-88;4.00;14;
20-feb-88;5.00;-7;
20-feb-88;6.00;-24;
20-feb-88;7.00;-32;
20-feb-88;8.00;-28;
20-feb-88;9.00;-13;
20-feb-88;10.00;6;
20-feb-88;11.00;22;
20-feb-88;12.00;30;
20-feb-88;13.00;31;
20-feb-88;14.00;22;
20-feb-88;15.00;6;
20-feb-88;16.00;-13;
20-feb-88;17.00;-28;
20-feb-88;18.00;-33;
20-feb-88;19.00;-25;
20-feb-88;20.00;-9;
20-feb-88;21.00;14;
20-feb-88;22.00;36;
20-feb-88;23.00;50;
21-feb-88;0.00;60;
21-feb-88;1.00;65;
21-feb-88;2.00;55;
21-feb-88;3.00;38;
21-feb-88;4.00;16;
21-feb-88;5.00;-5;
21-feb-88;6.00;-23;
21-feb-88;7.00;-33;
21-feb-88;8.00;-34;
21-feb-88;9.00;-23;
21-feb-88;10.00;-8;
21-feb-88;11.00;8;
21-feb-88;12.00;20;
21-feb-88;13.00;23;
21-feb-88;14.00;20;
21-feb-88;15.00;8;
21-feb-88;16.00;-8;
21-feb-88;17.00;-21;
21-feb-88;18.00;-28;
21-feb-88;19.00;-26;
21-feb-88;20.00;-16;
21-feb-88;21.00;-1;
21-feb-88;22.00;15;
21-feb-88;23.00;27;
22-feb-88;0.00;35;
22-feb-88;1.00;39;
22-feb-88;2.00;37;
22-feb-88;3.00;28;
22-feb-88;4.00;15;
22-feb-88;5.00;-1;
22-feb-88;6.00;-16;
22-feb-88;7.00;-28;
22-feb-88;8.00;-33;
22-feb-88;9.00;-25;
22-feb-88;10.00;-12;
22-feb-88;11.00;6;
22-feb-88;12.00;19;
22-feb-88;13.00;26;
22-feb-88;14.00;25;
22-feb-88;15.00;17;
22-feb-88;16.00;3;
22-feb-88;17.00;-10;
22-feb-88;18.00;-20;
22-feb-88;19.00;-22;
22-feb-88;20.00;-16;
22-feb-88;21.00;-5;
22-feb-88;22.00;10;
22-feb-88;23.00;25;
23-feb-88;0.00;35;
23-feb-88;1.00;39;
23-feb-88;2.00;41;
23-feb-88;3.00;36;
23-feb-88;4.00;24;
23-feb-88;5.00;11;
23-feb-88;6.00;-2;
23-feb-88;7.00;-12;
23-feb-88;8.00;-16;
23-feb-88;9.00;-13;
23-feb-88;10.00;-5;
23-feb-88;11.00;6;
23-feb-88;12.00;14;
23-feb-88;13.00;19;
23-feb-88;14.00;19;
23-feb-88;15.00;16;
23-feb-88;16.00;11;
23-feb-88;17.00;4;
23-feb-88;18.00;1;
23-feb-88;19.00;4;
23-feb-88;20.00;9;
23-feb-88;21.00;19;
23-feb-88;22.00;30;
23-feb-88;23.00;40;
24-feb-88;0.00;49;
24-feb-88;1.00;55;
24-feb-88;2.00;57;
24-feb-88;3.00;52;
24-feb-88;4.00;46;
24-feb-88;5.00;39;
24-feb-88;6.00;32;
24-feb-88;7.00;24;
24-feb-88;8.00;22;
24-feb-88;9.00;19;
24-feb-88;10.00;16;
24-feb-88;11.00;9;
24-feb-88;12.00;13;
24-feb-88;13.00;19;
24-feb-88;14.00;21;
24-feb-88;15.00;22;
24-feb-88;16.00;22;
24-feb-88;17.00;27;
24-feb-88;18.00;31;
24-feb-88;19.00;33;
24-feb-88;20.00;33;
24-feb-88;21.00;35;
24-feb-88;22.00;37;
24-feb-88;23.00;39;
25-feb-88;0.00;39;
25-feb-88;1.00;36;
25-feb-88;2.00;36;
25-feb-88;3.00;32;
25-feb-88;4.00;33;
25-feb-88;5.00;36;
25-feb-88;6.00;35;
25-feb-88;7.00;32;
25-feb-88;8.00;31;
25-feb-88;9.00;28;
25-feb-88;10.00;23;
25-feb-88;11.00;19;
25-feb-88;12.00;15;
25-feb-88;13.00;9;
25-feb-88;14.00;8;
25-feb-88;15.00;8;
25-feb-88;16.00;11;
25-feb-88;17.00;17;
25-feb-88;18.00;23;
25-feb-88;19.00;31;
25-feb-88;20.00;35;
25-feb-88;21.00;36;
25-feb-88;22.00;36;
25-feb-88;23.00;33;
26-feb-88;0.00;31;
26-feb-88;1.00;33;
26-feb-88;2.00;34;
26-feb-88;3.00;35;
26-feb-88;4.00;38;
26-feb-88;5.00;38;
26-feb-88;6.00;38;
26-feb-88;7.00;36;
26-feb-88;8.00;33;
26-feb-88;9.00;27;
26-feb-88;10.00;16;
26-feb-88;11.00;8;
26-feb-88;12.00;-1;
26-feb-88;13.00;-10;
26-feb-88;14.00;-15;
26-feb-88;15.00;-12;
26-feb-88;16.00;-4;
26-feb-88;17.00;8;
26-feb-88;18.00;18;
26-feb-88;19.00;29;
26-feb-88;20.00;36;
26-feb-88;21.00;38;
26-feb-88;22.00;36;
26-feb-88;23.00;33;
27-feb-88;0.00;27;
27-feb-88;1.00;23;
27-feb-88;2.00;23;
27-feb-88;3.00;31;
27-feb-88;4.00;38;
27-feb-88;5.00;42;
27-feb-88;6.00;43;
27-feb-88;7.00;43;
27-feb-88;8.00;39;
27-feb-88;9.00;36;
27-feb-88;10.00;27;
27-feb-88;11.00;16;
27-feb-88;12.00;4;
27-feb-88;13.00;-4;
27-feb-88;14.00;-8;
27-feb-88;15.00;-12;
27-feb-88;16.00;-8;
27-feb-88;17.00;4;
27-feb-88;18.00;16;
27-feb-88;19.00;27;
27-feb-88;20.00;33;
27-feb-88;21.00;36;
27-feb-88;22.00;36;
27-feb-88;23.00;33;
28-feb-88;0.00;31;
28-feb-88;1.00;27;
28-feb-88;2.00;24;
28-feb-88;3.00;24;
28-feb-88;4.00;25;
28-feb-88;5.00;30;
28-feb-88;6.00;35;
28-feb-88;7.00;40;
28-feb-88;8.00;46;
28-feb-88;9.00;46;
28-feb-88;10.00;40;
28-feb-88;11.00;30;
28-feb-88;12.00;14;
28-feb-88;13.00;-1;
28-feb-88;14.00;-15;
28-feb-88;15.00;-21;
28-feb-88;16.00;-22;
28-feb-88;17.00;-12;
28-feb-88;18.00;4;
28-feb-88;19.00;23;
28-feb-88;20.00;39;
28-feb-88;21.00;50;
28-feb-88;22.00;55;
28-feb-88;23.00;55;
29-feb-88;0.00;48;
29-feb-88;1.00;36;
29-feb-88;2.00;27;
29-feb-88;3.00;20;
29-feb-88;4.00;20;
29-feb-88;5.00;27;
29-feb-88;6.00;38;
29-feb-88;7.00;49;
29-feb-88;8.00;57;
29-feb-88;9.00;59;
29-feb-88;10.00;55;
29-feb-88;11.00;41;
29-feb-88;12.00;25;
29-feb-88;13.00;8;
29-feb-88;14.00;-8;
29-feb-88;15.00;-17;
29-feb-88;16.00;-18;
29-feb-88;17.00;-8;
29-feb-88;18.00;8;
29-feb-88;19.00;31;
29-feb-88;20.00;49;
29-feb-88;21.00;59;
29-feb-88;22.00;67;
29-feb-88;23.00;72;
1-mar-88;0.00;59;
1-mar-88;1.00;41;
1-mar-88;2.00;27;
1-mar-88;3.00;17;
1-mar-88;4.00;8;
1-mar-88;5.00;6;
1-mar-88;6.00;15;
1-mar-88;7.00;27;
1-mar-88;8.00;38;
1-mar-88;9.00;46;
1-mar-88;10.00;47;
1-mar-88;11.00;38;
1-mar-88;12.00;23;
1-mar-88;13.00;8;
1-mar-88;14.00;-8;
1-mar-88;15.00;-21;
1-mar-88;16.00;-24;
1-mar-88;17.00;-15;
1-mar-88;18.00;3;
1-mar-88;19.00;27;
1-mar-88;20.00;47;
1-mar-88;21.00;62;
1-mar-88;22.00;68;
1-mar-88;23.00;65;
2-mar-88;0.00;52;
2-mar-88;1.00;36;
2-mar-88;2.00;20;
2-mar-88;3.00;7;
2-mar-88;4.00;-2;
2-mar-88;5.00;-4;
2-mar-88;6.00;8;
2-mar-88;7.00;23;
2-mar-88;8.00;38;
2-mar-88;9.00;50;
2-mar-88;10.00;56;
2-mar-88;11.00;52;
2-mar-88;12.00;39;
2-mar-88;13.00;22;
2-mar-88;14.00;1;
2-mar-88;15.00;-16;
2-mar-88;16.00;-25;
2-mar-88;17.00;-25;
2-mar-88;18.00;-10;
2-mar-88;19.00;8;
2-mar-88;20.00;28;
2-mar-88;21.00;43;
2-mar-88;22.00;52;
2-mar-88;23.00;54;
3-mar-88;0.00;46;
3-mar-88;1.00;34;
3-mar-88;2.00;18;
3-mar-88;3.00;4;
3-mar-88;4.00;-5;
3-mar-88;5.00;-7;
3-mar-88;6.00;1;
3-mar-88;7.00;15;
3-mar-88;8.00;31;
3-mar-88;9.00;44;
3-mar-88;10.00;52;
3-mar-88;11.00;52;
3-mar-88;12.00;43;
3-mar-88;13.00;27;
3-mar-88;14.00;8;
3-mar-88;15.00;-12;
3-mar-88;16.00;-28;
3-mar-88;17.00;-34;
3-mar-88;18.00;-30;
3-mar-88;19.00;-13;
3-mar-88;20.00;8;
3-mar-88;21.00;29;
3-mar-88;22.00;44;
3-mar-88;23.00;55;
4-mar-88;0.00;54;
4-mar-88;1.00;43;
4-mar-88;2.00;27;
4-mar-88;3.00;11;
4-mar-88;4.00;-2;
4-mar-88;5.00;-8;
4-mar-88;6.00;-4;
4-mar-88;7.00;8;
4-mar-88;8.00;25;
4-mar-88;9.00;43;
4-mar-88;10.00;55;
4-mar-88;11.00;60;
4-mar-88;12.00;57;
4-mar-88;13.00;43;
4-mar-88;14.00;23;
4-mar-88;15.00;-1;
4-mar-88;16.00;-21;
4-mar-88;17.00;-33;
4-mar-88;18.00;-33;
4-mar-88;19.00;-17;
4-mar-88;20.00;4;
4-mar-88;21.00;30;
4-mar-88;22.00;51;
4-mar-88;23.00;65;
5-mar-88;0.00;69;
5-mar-88;1.00;64;
5-mar-88;2.00;51;
5-mar-88;3.00;32;
5-mar-88;4.00;15;
5-mar-88;5.00;3;
5-mar-88;6.00;-1;
5-mar-88;7.00;8;
5-mar-88;8.00;26;
5-mar-88;9.00;47;
5-mar-88;10.00;63;
5-mar-88;11.00;71;
5-mar-88;12.00;71;
5-mar-88;13.00;57;
5-mar-88;14.00;37;
5-mar-88;15.00;16;
5-mar-88;16.00;1;
5-mar-88;17.00;-8;
5-mar-88;18.00;-8;
5-mar-88;19.00;6;
5-mar-88;20.00;25;
5-mar-88;21.00;45;
5-mar-88;22.00;60;
5-mar-88;23.00;71;
6-mar-88;0.00;72;
6-mar-88;1.00;60;
6-mar-88;2.00;43;
6-mar-88;3.00;23;
6-mar-88;4.00;3;
6-mar-88;5.00;-12;
6-mar-88;6.00;-16;
6-mar-88;7.00;-8;
6-mar-88;8.00;4;
6-mar-88;9.00;20;
6-mar-88;10.00;35;
6-mar-88;11.00;42;
6-mar-88;12.00;47;
6-mar-88;13.00;43;
6-mar-88;14.00;30;
6-mar-88;15.00;12;
6-mar-88;16.00;-1;
6-mar-88;17.00;-8;
6-mar-88;18.00;-9;
6-mar-88;19.00;0;
6-mar-88;20.00;16;
6-mar-88;21.00;34;
6-mar-88;22.00;48;
6-mar-88;23.00;62;
7-mar-88;0.00;67;
7-mar-88;1.00;63;
7-mar-88;2.00;48;
7-mar-88;3.00;32;
7-mar-88;4.00;13;
7-mar-88;5.00;-4;
7-mar-88;6.00;-15;
7-mar-88;7.00;-17;
7-mar-88;8.00;-9;
7-mar-88;9.00;7;
7-mar-88;10.00;23;
7-mar-88;11.00;36;
7-mar-88;12.00;46;
7-mar-88;13.00;48;
7-mar-88;14.00;43;
7-mar-88;15.00;32;
7-mar-88;16.00;17;
7-mar-88;17.00;7;
7-mar-88;18.00;1;
7-mar-88;19.00;3;
7-mar-88;20.00;14;
7-mar-88;21.00;28;
7-mar-88;22.00;43;
7-mar-88;23.00;54;
8-mar-88;0.00;63;
8-mar-88;1.00;64;
8-mar-88;2.00;52;
8-mar-88;3.00;35;
8-mar-88;4.00;16;
8-mar-88;5.00;-3;
8-mar-88;6.00;-16;
8-mar-88;7.00;-17;
8-mar-88;8.00;-12;
8-mar-88;9.00;-1;
8-mar-88;10.00;16;
8-mar-88;11.00;31;
8-mar-88;12.00;42;
8-mar-88;13.00;44;
8-mar-88;14.00;42;
8-mar-88;15.00;35;
8-mar-88;16.00;20;
8-mar-88;17.00;8;
8-mar-88;18.00;3;
8-mar-88;19.00;4;
8-mar-88;20.00;9;
8-mar-88;21.00;17;
8-mar-88;22.00;31;
8-mar-88;23.00;44;
9-mar-88;0.00;52;
9-mar-88;1.00;55;
9-mar-88;2.00;49;
9-mar-88;3.00;33;
9-mar-88;4.00;15;
9-mar-88;5.00;-1;
9-mar-88;6.00;-13;
9-mar-88;7.00;-20;
9-mar-88;8.00;-17;
9-mar-88;9.00;-8;
9-mar-88;10.00;6;
9-mar-88;11.00;15;
9-mar-88;12.00;23;
9-mar-88;13.00;26;
9-mar-88;14.00;24;
9-mar-88;15.00;22;
9-mar-88;16.00;15;
9-mar-88;17.00;8;
9-mar-88;18.00;7;
9-mar-88;19.00;8;
9-mar-88;20.00;16;
9-mar-88;21.00;27;
9-mar-88;22.00;36;
9-mar-88;23.00;43;
10-mar-88;0.00;48;
10-mar-88;1.00;51;
10-mar-88;2.00;48;
10-mar-88;3.00;39;
10-mar-88;4.00;27;
10-mar-88;5.00;16;
10-mar-88;6.00;4;
10-mar-88;7.00;-1;
10-mar-88;8.00;-4;
10-mar-88;9.00;-3;
10-mar-88;10.00;-2;
10-mar-88;11.00;-1;
10-mar-88;12.00;1;
10-mar-88;13.00;3;
10-mar-88;14.00;3;
10-mar-88;15.00;6;
10-mar-88;16.00;8;
10-mar-88;17.00;11;
10-mar-88;18.00;15;
10-mar-88;19.00;19;
10-mar-88;20.00;23;
10-mar-88;21.00;28;
10-mar-88;22.00;33;
10-mar-88;23.00;39;
11-mar-88;0.00;44;
11-mar-88;1.00;47;
11-mar-88;2.00;48;
11-mar-88;3.00;47;
11-mar-88;4.00;41;
11-mar-88;5.00;35;
11-mar-88;6.00;25;
11-mar-88;7.00;16;
11-mar-88;8.00;6;
11-mar-88;9.00;-1;
11-mar-88;10.00;-5;
11-mar-88;11.00;-7;
11-mar-88;12.00;-5;
11-mar-88;13.00;-1;
11-mar-88;14.00;3;
11-mar-88;15.00;8;
11-mar-88;16.00;14;
11-mar-88;17.00;20;
11-mar-88;18.00;26;
11-mar-88;19.00;31;
11-mar-88;20.00;36;
11-mar-88;21.00;36;
11-mar-88;22.00;39;
11-mar-88;23.00;39;
12-mar-88;0.00;42;
12-mar-88;1.00;44;
12-mar-88;2.00;47;
12-mar-88;3.00;48;
12-mar-88;4.00;43;
12-mar-88;5.00;39;
12-mar-88;6.00;33;
12-mar-88;7.00;25;
12-mar-88;8.00;18;
12-mar-88;9.00;11;
12-mar-88;10.00;3;
12-mar-88;11.00;-4;
12-mar-88;12.00;-8;
12-mar-88;13.00;-10;
12-mar-88;14.00;-8;
12-mar-88;15.00;-1;
12-mar-88;16.00;10;
12-mar-88;17.00;22;
12-mar-88;18.00;35;
12-mar-88;19.00;44;
12-mar-88;20.00;50;
12-mar-88;21.00;54;
12-mar-88;22.00;55;
12-mar-88;23.00;52;
13-mar-88;0.00;45;
13-mar-88;1.00;40;
13-mar-88;2.00;38;
13-mar-88;3.00;39;
13-mar-88;4.00;43;
13-mar-88;5.00;47;
13-mar-88;6.00;48;
13-mar-88;7.00;46;
13-mar-88;8.00;38;
13-mar-88;9.00;27;
13-mar-88;10.00;15;
13-mar-88;11.00;1;
13-mar-88;12.00;-8;
13-mar-88;13.00;-16;
13-mar-88;14.00;-16;
13-mar-88;15.00;-9;
13-mar-88;16.00;1;
13-mar-88;17.00;17;
13-mar-88;18.00;35;
13-mar-88;19.00;48;
13-mar-88;20.00;60;
13-mar-88;21.00;66;
13-mar-88;22.00;64;
13-mar-88;23.00;59;
14-mar-88;0.00;48;
14-mar-88;1.00;39;
14-mar-88;2.00;32;
14-mar-88;3.00;28;
14-mar-88;4.00;30;
14-mar-88;5.00;35;
14-mar-88;6.00;40;
14-mar-88;7.00;46;
14-mar-88;8.00;47;
14-mar-88;9.00;39;
14-mar-88;10.00;27;
14-mar-88;11.00;12;
14-mar-88;12.00;-1;
14-mar-88;13.00;-13;
14-mar-88;14.00;-21;
14-mar-88;15.00;-21;
14-mar-88;16.00;-9;
14-mar-88;17.00;7;
14-mar-88;18.00;27;
14-mar-88;19.00;44;
14-mar-88;20.00;59;
14-mar-88;21.00;70;
14-mar-88;22.00;70;
14-mar-88;23.00;62;
15-mar-88;0.00;46;
15-mar-88;1.00;31;
15-mar-88;2.00;16;
15-mar-88;3.00;8;
15-mar-88;4.00;7;
15-mar-88;5.00;15;
15-mar-88;6.00;27;
15-mar-88;7.00;39;
15-mar-88;8.00;47;
15-mar-88;9.00;48;
15-mar-88;10.00;38;
15-mar-88;11.00;24;
15-mar-88;12.00;8;
15-mar-88;13.00;-8;
15-mar-88;14.00;-21;
15-mar-88;15.00;-28;
15-mar-88;16.00;-25;
15-mar-88;17.00;-9;
15-mar-88;18.00;11;
15-mar-88;19.00;34;
15-mar-88;20.00;53;
15-mar-88;21.00;68;
15-mar-88;22.00;73;
15-mar-88;23.00;68;
16-mar-88;0.00;52;
16-mar-88;1.00;36;
16-mar-88;2.00;16;
16-mar-88;3.00;4;
16-mar-88;4.00;-1;
16-mar-88;5.00;4;
16-mar-88;6.00;19;
16-mar-88;7.00;36;
16-mar-88;8.00;54;
16-mar-88;9.00;63;
16-mar-88;10.00;63;
16-mar-88;11.00;52;
16-mar-88;12.00;36;
16-mar-88;13.00;16;
16-mar-88;14.00;-2;
16-mar-88;15.00;-16;
16-mar-88;16.00;-18;
16-mar-88;17.00;-7;
16-mar-88;18.00;12;
16-mar-88;19.00;36;
16-mar-88;20.00;57;
16-mar-88;21.00;76;
16-mar-88;22.00;86;
16-mar-88;23.00;84;
17-mar-88;0.00;72;
17-mar-88;1.00;52;
17-mar-88;2.00;31;
17-mar-88;3.00;11;
17-mar-88;4.00;-1;
17-mar-88;5.00;-5;
17-mar-88;6.00;8;
17-mar-88;7.00;26;
17-mar-88;8.00;46;
17-mar-88;9.00;60;
17-mar-88;10.00;63;
17-mar-88;11.00;56;
17-mar-88;12.00;41;
17-mar-88;13.00;23;
17-mar-88;14.00;3;
17-mar-88;15.00;-15;
17-mar-88;16.00;-25;
17-mar-88;17.00;-26;
17-mar-88;18.00;-15;
17-mar-88;19.00;6;
17-mar-88;20.00;30;
17-mar-88;21.00;49;
17-mar-88;22.00;66;
17-mar-88;23.00;73;
18-mar-88;0.00;70;
18-mar-88;1.00;55;
18-mar-88;2.00;35;
18-mar-88;3.00;15;
18-mar-88;4.00;-2;
18-mar-88;5.00;-11;
18-mar-88;6.00;-9;
18-mar-88;7.00;4;
18-mar-88;8.00;23;
18-mar-88;9.00;44;
18-mar-88;10.00;59;
18-mar-88;11.00;63;
18-mar-88;12.00;56;
18-mar-88;13.00;39;
18-mar-88;14.00;17;
18-mar-88;15.00;-5;
18-mar-88;16.00;-21;
18-mar-88;17.00;-26;
18-mar-88;18.00;-17;
18-mar-88;19.00;3;
18-mar-88;20.00;27;
18-mar-88;21.00;49;
18-mar-88;22.00;70;
18-mar-88;23.00;81;
19-mar-88;0.00;83;
19-mar-88;1.00;72;
19-mar-88;2.00;53;
19-mar-88;3.00;30;
19-mar-88;4.00;6;
19-mar-88;5.00;-12;
19-mar-88;6.00;-23;
19-mar-88;7.00;-25;
19-mar-88;8.00;-11;
19-mar-88;9.00;11;
19-mar-88;10.00;31;
19-mar-88;11.00;41;
19-mar-88;12.00;40;
19-mar-88;13.00;27;
19-mar-88;14.00;7;
19-mar-88;15.00;-16;
19-mar-88;16.00;-32;
19-mar-88;17.00;-37;
19-mar-88;18.00;-31;
19-mar-88;19.00;-10;
19-mar-88;20.00;12;
19-mar-88;21.00;37;
19-mar-88;22.00;55;
19-mar-88;23.00;67;
20-mar-88;0.00;68;
20-mar-88;1.00;55;
20-mar-88;2.00;37;
20-mar-88;3.00;14;
20-mar-88;4.00;-8;
20-mar-88;5.00;-25;
20-mar-88;6.00;-33;
20-mar-88;7.00;-30;
20-mar-88;8.00;-12;
20-mar-88;9.00;8;
20-mar-88;10.00;27;
20-mar-88;11.00;39;
20-mar-88;12.00;43;
20-mar-88;13.00;37;
20-mar-88;14.00;23;
20-mar-88;15.00;6;
20-mar-88;16.00;-8;
20-mar-88;17.00;-16;
20-mar-88;18.00;-15;
20-mar-88;19.00;-1;
20-mar-88;20.00;20;
20-mar-88;21.00;41;
20-mar-88;22.00;57;
20-mar-88;23.00;68;
21-mar-88;0.00;70;
21-mar-88;1.00;63;
21-mar-88;2.00;46;
21-mar-88;3.00;27;
21-mar-88;4.00;9;
21-mar-88;5.00;-8;
21-mar-88;6.00;-18;
21-mar-88;7.00;-23;
21-mar-88;8.00;-13;
21-mar-88;9.00;3;
21-mar-88;10.00;16;
21-mar-88;11.00;30;
21-mar-88;12.00;37;
21-mar-88;13.00;39;
21-mar-88;14.00;34;
21-mar-88;15.00;25;
21-mar-88;16.00;14;
21-mar-88;17.00;4;
21-mar-88;18.00;4;
21-mar-88;19.00;11;
21-mar-88;20.00;24;
21-mar-88;21.00;41;
21-mar-88;22.00;56;
21-mar-88;23.00;68;
22-mar-88;0.00;75;
22-mar-88;1.00;72;
22-mar-88;2.00;60;
22-mar-88;3.00;43;
22-mar-88;4.00;24;
22-mar-88;5.00;7;
22-mar-88;6.00;-8;
22-mar-88;7.00;-16;
22-mar-88;8.00;-16;
22-mar-88;9.00;-4;
22-mar-88;10.00;12;
22-mar-88;11.00;30;
22-mar-88;12.00;41;
22-mar-88;13.00;46;
22-mar-88;14.00;46;
22-mar-88;15.00;41;
22-mar-88;16.00;33;
